,firmname,own,own2,type,ownername
0,에스케이,0.28585427785229633,0.5431610037848795,0,
22,에스케이,,,1,
23,에스케이,,,-1,
25,에스케이,0.4568389962151205,0.4568389962151205,99,
28,나노엔텍,0.0,0.011264801808766697,0,
37,나노엔텍,0.2853993486766693,0.2853993486766693,1,에스케이텔레콤
38,나노엔텍,,,-1,
40,나노엔텍,0.7033358495145641,0.7033358495145641,99,
43,대한송유관공사,0.0,0.0,0,
52,대한송유관공사,0.4100165543778417,0.4100165543778417,1,에스케이이노베이션
53,대한송유관공사,,,-1,
55,대한송유관공사,0.5899834456221583,0.5899834456221583,99,
58,드림어스컴퍼니(舊 아이리버),0.0,1.4069682600447378e-05,0,
67,드림어스컴퍼니(舊 아이리버),0.5143592278748129,0.5143592278748129,1,에스케이텔레콤
68,드림어스컴퍼니(舊 아이리버),,,-1,
70,드림어스컴퍼니(舊 아이리버),0.4856267024425866,0.4856267024425866,99,
73,디디아이에스에스280위탁관리부동산투자회사,0.0,0.0,0,
82,디디아이에스에스280위탁관리부동산투자회사,0.290625,0.290625,1,에스케이디앤디
83,디디아이에스에스280위탁관리부동산투자회사,,,-1,
85,디디아이에스에스280위탁관리부동산투자회사,0.709375,0.709375,99,
88,디앤디플랫폼위탁관리부동산투자회사,0.0,0.0,0,
97,디앤디플랫폼위탁관리부동산투자회사,1.0,1.0,1,에스케이디앤디
98,디앤디플랫폼위탁관리부동산투자회사,,,-1,
100,디앤디플랫폼위탁관리부동산투자회사,0.0,0.0,99,
103,부산도시가스,0.0,0.09081818181818181,0,
112,부산도시가스,0.6732184545454546,0.6732184545454546,1,에스케이이엔에스
113,부산도시가스,,,-1,
115,부산도시가스,0.23596336363636364,0.23596336363636364,99,
118,에스엠코어,0.0,0.0004994023643669599,0,
127,에스엠코어,0.2660338108129073,0.2660338108129073,1,에스케이
128,에스엠코어,,,-1,
130,에스엠코어,0.7334667868227258,0.7334667868227258,99,
133,에이디티캡스,0.0,0.0,0,
142,에이디티캡스,1.0,1.0,1,라이프앤시큐리티홀딩스
143,에이디티캡스,,,-1,
145,에이디티캡스,0.0,0.0,99,
148,에이앤티에스,0.0,0.5,0,
158,에이앤티에스,,,1,
159,에이앤티에스,,,-1,
161,에이앤티에스,0.5,0.5,99,
164,영시티위탁관리부동산투자회사,0.0,0.0,0,
173,영시티위탁관리부동산투자회사,1.0,1.0,1,에스케이디앤디
174,영시티위탁관리부동산투자회사,,,-1,
176,영시티위탁관리부동산투자회사,0.0,0.0,99,
179,제이에스아이,0.0,0.0,0,
188,제이에스아이,0.56025,0.56025,1,에스케이케미칼
189,제이에스아이,,,-1,
191,제이에스아이,0.43975,0.43975,99,
194,캡스텍,0.0,0.0,0,
203,캡스텍,1.0,1.0,1,라이프앤시큐리티홀딩스
204,캡스텍,,,-1,
206,캡스텍,0.0,0.0,99,
209,코스코가스텍,0.0,0.5,0,
220,코스코가스텍,0.5,0.5,1,한유케미칼
221,코스코가스텍,,,-1,
223,코스코가스텍,0.0,0.0,99,
226,한유케미칼,0.0,0.0,0,
235,한유케미칼,0.8,0.8,1,에스케이머티리얼즈
236,한유케미칼,,,-1,
238,한유케미칼,0.2,0.2,99,
241,휘찬,0.0,0.0,0,
250,휘찬,1.0,1.0,1,에스케이
251,휘찬,,,-1,
253,휘찬,0.0,0.0,99,
256,강원도시가스,0.0,0.0,0,
265,강원도시가스,1.0,1.0,1,에스케이이엔에스
266,강원도시가스,,,-1,
268,강원도시가스,0.0,0.0,99,
271,금호미쓰이화학,0.0,0.0,0,
280,금호미쓰이화학,0.5,0.5,1,Mitsui Chemicals & SKC Polyurethanes Inc.
281,금호미쓰이화학,,,-1,
283,금호미쓰이화학,0.5,0.5,99,
286,나래에너지서비스 (舊 위례에너지서비스),0.0,0.0,0,
295,나래에너지서비스 (舊 위례에너지서비스),1.0,1.0,1,에스케이이엔에스
296,나래에너지서비스 (舊 위례에너지서비스),,,-1,
298,나래에너지서비스 (舊 위례에너지서비스),0.0,0.0,99,
301,내트럭,0.0,0.0,0,
310,내트럭,1.0,1.0,1,에스케이에너지
311,내트럭,,,-1,
313,내트럭,0.0,0.0,99,
316,당진에코파워 (舊 당진에코태양광발전),0.0,0.0,0,
325,당진에코파워 (舊 당진에코태양광발전),0.5487096774193548,0.5487096774193548,1,에스케이가스
326,당진에코파워 (舊 당진에코태양광발전),,,-1,
328,당진에코파워 (舊 당진에코태양광발전),0.45129032258064516,0.45129032258064516,99,
331,디앤디인베스트먼트,0.0,0.0,0,
340,디앤디인베스트먼트,1.0,1.0,1,에스케이디앤디
341,디앤디인베스트먼트,,,-1,
343,디앤디인베스트먼트,0.0,0.0,99,
346,라이프앤시큐리티홀딩스,0.0,0.0,0,
