,firmname,own,own2,type,ownername
0,교보생명보험,0.36904721951219516,0.3690584390243903,0,
15,교보생명보험,,,1,-
16,교보생명보험,,,1,-
17,교보생명보험,,,-1,
19,교보생명보험,0.6309415609756097,0.6309415609756097,99,
22,교보라이프플래닛생명보험,0.0,0.0,0,
37,교보라이프플래닛생명보험,1.0,1.0,1,교보생명보험
38,교보라이프플래닛생명보험,,,1,-
39,교보라이프플래닛생명보험,,,-1,
41,교보라이프플래닛생명보험,0.0,0.0,99,
44,교보악사자산운용,0.0,0.0,0,
59,교보악사자산운용,0.5,0.5,1,교보생명보험
60,교보악사자산운용,,,-1,
62,교보악사자산운용,0.5,0.5,99,
65,교보증권,0.00014219444444444444,0.03129769444444445,0,
77,교보증권,0.5162631388888889,0.5162631388888889,1,교보생명
78,교보증권,,,1,-
79,교보증권,,,-1,
81,교보증권,0.45243916666666667,0.45243916666666667,99,
84,생보부동산신탁,0.0,0.0,0,
99,생보부동산신탁,0.5,0.5,1,교보생명보험
100,생보부동산신탁,,,1,-
101,생보부동산신탁,,,-1,
103,생보부동산신탁,0.5,0.5,99,
106,케이씨에이손해사정,0.0,0.0,0,
121,케이씨에이손해사정,1.0,1.0,1,교보생명보험
122,케이씨에이손해사정,,,1,-
123,케이씨에이손해사정,,,-1,
125,케이씨에이손해사정,0.0,0.0,99,
128,코에프씨교보한화그로쓰챔프2010의6호,0.0,0.0,0,
143,코에프씨교보한화그로쓰챔프2010의6호,0.1,0.1,1,교보생명보험
144,코에프씨교보한화그로쓰챔프2010의6호,0.15,0.15,1,교보증권
145,코에프씨교보한화그로쓰챔프2010의6호,,,-1,
147,코에프씨교보한화그로쓰챔프2010의6호,0.75,0.75,99,
150,교보데이터센터유한회사,0.0,0.0,0,
165,교보데이터센터유한회사,0.9999997222222222,0.9999997222222222,1,교보생명보험
166,교보데이터센터유한회사,,,1,-
167,교보데이터센터유한회사,,,-1,
169,교보데이터센터유한회사,2.7777777777777776e-07,2.7777777777777776e-07,99,
172,교보리얼코,0.0,0.0,0,
187,교보리얼코,1.0,1.0,1,교보생명보험
188,교보리얼코,,,1,-
189,교보리얼코,,,-1,
191,교보리얼코,0.0,0.0,99,
194,교보정보통신,0.0,0.0,0,
209,교보정보통신,0.89825,0.89825,1,교보생명보험
210,교보정보통신,,,1,-
211,교보정보통신,,,-1,
213,교보정보통신,0.10175,0.10175,99,
216,교보핫트랙스,0.0,0.0,0,
231,교보핫트랙스,1.0,1.0,1,교보문고
232,교보핫트랙스,,,1,-
233,교보핫트랙스,,,-1,
235,교보핫트랙스,0.0,0.0,99,
238,제일안전서비스,0.0,0.0,0,
253,제일안전서비스,1.0,1.0,1,교보리얼코
254,제일안전서비스,,,1,-
255,제일안전서비스,,,-1,
257,제일안전서비스,0.0,0.0,99,
260,교보문고,0.0,0.0,0,
275,교보문고,1.0,1.0,1,교보생명보험
276,교보문고,,,-1,
278,교보문고,0.0,0.0,99,
281,케이씨에이서비스,0.0,0.0,0,
296,케이씨에이서비스,1.0,1.0,1,케이씨에이손해사정
297,케이씨에이서비스,,,1,-
298,케이씨에이서비스,,,-1,
300,케이씨에이서비스,0.0,0.0,99,
