,firmname,own,own2,type,ownername
0,금호산업,0.00027081050062299956,0.03030499491011664,0,
11,금호산업,0.4421069977704172,0.4421069977704172,1,금호고속
12,금호산업,,,-1,
14,금호산업,0.5275880073194662,0.5275880073194662,99,
17,아시아나항공,4.47957839498265e-05,0.00016556521747855877,0,
28,아시아나항공,0.30769356300800715,0.30769356300800715,1,금호산업
29,아시아나항공,,,-1,
31,아시아나항공,0.6921408717745143,0.6921408717745143,99,
34,금호고속관광 [경기],0.0,0.0,0,
43,금호고속관광 [경기],1.0,1.0,1,금호고속
44,금호고속관광 [경기],,,-1,
46,금호고속관광 [경기],0.0,0.0,99,
49,금호고속관광 [서울],0.0,0.0,0,
58,금호고속관광 [서울],1.0,1.0,1,금호티앤아이
59,금호고속관광 [서울],,,-1,
61,금호고속관광 [서울],0.0,0.0,99,
64,금호고속관광 [전남],0.0,0.0,0,
73,금호고속관광 [전남],1.0,1.0,1,금호속리산고속
74,금호고속관광 [전남],,,-1,
76,금호고속관광 [전남],0.0,0.0,99,
79,금호고속,0.5202350911936627,0.6959146516753442,0,
89,금호고속,0.01597086913469831,0.01597086913469831,1,케이에이
90,금호고속,0.006388347653879324,0.006388347653879324,1,케이에프
91,금호고속,0.009582521480818985,0.009582521480818985,1,케이아이
92,금호고속,,,-1,
94,금호고속,0.2721436100552592,0.2721436100552592,99,
97,금호리조트,0.0,0.0,0,
106,금호리조트,0.4879689587586173,0.4879689587586173,1,금호티앤아이
107,금호리조트,0.26584167303723666,0.26584167303723666,1,아시아나아이디티
108,금호리조트,0.14625832050770865,0.14625832050770865,1,아시아나에어포트
109,금호리조트,0.09993104769643739,0.09993104769643739,1,아시아나세이버
110,금호리조트,,,-1,
112,금호리조트,0.0,0.0,99,
115,금호속리산고속,0.0,0.0,0,
124,금호속리산고속,1.0,1.0,1,금호티앤아이
125,금호속리산고속,,,-1,
127,금호속리산고속,0.0,0.0,99,
130,금호티앤아이,0.0,0.0,0,
139,금호티앤아이,0.3730829420970266,0.3730829420970266,1,아시아나아이디티
140,금호티앤아이,0.22384976525821595,0.22384976525821595,1,아시아나에어포트
141,금호티앤아이,0.1865414710485133,0.1865414710485133,1,금호산업
142,금호티앤아이,0.14923317683881065,0.14923317683881065,1,아시아나세이버
143,금호티앤아이,,,-1,
145,금호티앤아이,0.06729264475743349,0.06729264475743349,99,
148,아시아나개발,0.0,0.0,0,
157,아시아나개발,1.0,1.0,1,아시아나항공
158,아시아나개발,,,-1,
160,아시아나개발,0.0,0.0,99,
163,아시아나세이버,0.0,0.0,0,
172,아시아나세이버,0.8,0.8,1,아시아나항공
173,아시아나세이버,,,-1,
175,아시아나세이버,0.2,0.2,99,
178,아시아나아이디티,0.0,0.0,0,
187,아시아나아이디티,0.7621621621621621,0.7621621621621621,1,아시아나항공
188,아시아나아이디티,,,-1,
190,아시아나아이디티,0.23783783783783785,0.23783783783783785,99,
193,아시아나에어포트,0.0,0.0,0,
202,아시아나에어포트,1.0,1.0,1,아시아나항공
203,아시아나에어포트,,,-1,
205,아시아나에어포트,0.0,0.0,99,
208,에스티엠,0.0,0.0,0,
217,에스티엠,1.0,1.0,1,케이에프
218,에스티엠,,,-1,
220,에스티엠,0.0,0.0,99,
223,에어부산,0.0,0.0020741309775302477,0,
232,에어부산,0.4417130785481083,0.4417130785481083,1,아시아나항공
233,에어부산,,,-1,
235,에어부산,0.5562127904743615,0.5562127904743615,99,
238,에어서울,0.0,0.0,0,
247,에어서울,1.0,1.0,1,아시아나항공
248,에어서울,,,-1,
250,에어서울,0.0,0.0,99,
253,에이에이치,0.0,0.0,0,
262,에이에이치,1.0,1.0,1,케이에이
263,에이에이치,,,-1,
265,에이에이치,0.0,0.0,99,
268,에이오,0.0,0.0,0,
277,에이오,1.0,1.0,1,케이오
278,에이오,,,-1,
280,에이오,0.0,0.0,99,
283,에이큐,0.0,0.0,0,
292,에이큐,1.0,1.0,1,케이에이 
293,에이큐,,,-1,
295,에이큐,0.0,0.0,99,
298,충주보라매,0.0,0.0,0,
307,충주보라매,1.0,1.0,1,금호산업
308,충주보라매,,,-1,
310,충주보라매,0.0,0.0,99,
313,케이브이아이,0.0,0.0,0,
322,케이브이아이,1.0,1.0,1,금호티앤아이
323,케이브이아이,,,-1,
325,케이브이아이,0.0,0.0,99,
328,케이아이,0.0,1.0,0,
337,케이아이,,,1,
338,케이아이,,,-1,
340,케이아이,0.0,0.0,99,
343,케이알,0.0,1.0,0,
352,케이알,,,1,
353,케이알,,,-1,
355,케이알,0.0,0.0,99,
358,케이에이,0.0,1.0,0,
367,케이에이,,,1,
368,케이에이,,,-1,
370,케이에이,0.0,0.0,99,
373,케이에프,0.0,1.0,0,
382,케이에프,,,1,
383,케이에프,,,-1,
385,케이에프,0.0,0.0,99,
388,케이오,0.0,1.0,0,
397,케이오,,,1,
398,케이오,,,-1,
400,케이오,0.0,0.0,99,
403,케이지,0.0,1.0,0,
412,케이지,,,1,
413,케이지,,,-1,
415,케이지,0.0,0.0,99,
