,firmname,own,own2,type,ownername
0,넷마블,0.241624685202398,0.28889080126546485,0,
20,넷마블,,,1,-
21,넷마블,,,-1,
23,넷마블,0.7111091987345352,0.7111091987345352,99,
26,마켓프레스,0.0,0.39499825625217966,0,
35,마켓프레스,0.5500005624992969,0.5500005624992969,1,넷마블
36,마켓프레스,,,-1,
38,마켓프레스,0.05500118124852344,0.05500118124852344,99,
41,미디어웹,0.0,5.126141527641437e-05,0,
50,미디어웹,0.6884100503130791,0.6884100503130791,1,넷마블
51,미디어웹,,,-1,
53,미디어웹,0.3115386882716445,0.3115386882716445,99,
56,에브리플레이,0.0,0.0,0,
65,에브리플레이,0.8361486486486487,0.8361486486486487,1,넷마블
66,에브리플레이,0.13779560810810812,0.13779560810810812,1,미디어웹
67,에브리플레이,,,-1,
69,에브리플레이,0.026055743243243244,0.026055743243243244,99,
72,구로발게임즈,0.0063931013975617006,0.0063931013975617006,0,
81,구로발게임즈,0.9936068986024383,0.9936068986024383,1,넷마블
82,구로발게임즈,,,-1,
84,구로발게임즈,0.0,0.0,99,
87,넷마블네오,0.0,0.03068209884743465,0,
97,넷마블네오,0.8042889632049037,0.8042889632049037,1,넷마블
98,넷마블네오,,,-1,
100,넷마블네오,0.16502893794766166,0.16502893794766166,99,
103,넷마블넥서스,0.0,0.0,0,
112,넷마블넥서스,1.0,1.0,1,넷마블
113,넷마블넥서스,,,-1,
115,넷마블넥서스,0.0,0.0,99,
118,넷마블몬스터,0.05427325076249199,0.18779378207464278,0,
127,넷마블몬스터,0.7617279955898303,0.7617279955898303,1,넷마블
128,넷마블몬스터,,,-1,
130,넷마블몬스터,0.05047822233552698,0.05047822233552698,99,
133,넷마블앤파크,0.11334516959157655,0.12694658994256575,0,
143,넷마블앤파크,0.7604185368619649,0.7604185368619649,1,넷마블
144,넷마블앤파크,,,-1,
146,넷마블앤파크,0.11263487319546933,0.11263487319546933,99,
149,넷마블엔투,0.0,0.0,0,
158,넷마블엔투,0.9975557809140203,0.9975557809140203,1,넷마블
159,넷마블엔투,,,-1,
161,넷마블엔투,0.0024442190859797247,0.0024442190859797247,99,
164,넷마블체리,0.0,0.07218790003896032,0,
173,넷마블체리,0.8079812990482551,0.8079812990482551,1,넷마블
174,넷마블체리,,,-1,
176,넷마블체리,0.11983080091278454,0.11983080091278454,99,
179,"넷마블펀(구, 퍼니파우)",0.0,0.0621184110569006,0,
189,"넷마블펀(구, 퍼니파우)",0.8687331392468903,0.8687331392468903,1,넷마블
190,"넷마블펀(구, 퍼니파우)",,,-1,
192,"넷마블펀(구, 퍼니파우)",0.06914844969620908,0.06914844969620908,99,
195,아이지에스,0.0,0.0,0,
204,아이지에스,1.0,1.0,1,넷마블
205,아이지에스,,,-1,
207,아이지에스,0.0,0.0,99,
210,엔탑자산관리,0.0,0.0,0,
219,엔탑자산관리,1.0,1.0,1,넷마블
220,엔탑자산관리,,,-1,
222,엔탑자산관리,0.0,0.0,99,
225,엠엔비프로덕션,0.0,0.0,0,
234,엠엔비프로덕션,1.0,1.0,1,넷마블
235,엠엔비프로덕션,,,-1,
237,엠엔비프로덕션,0.0,0.0,99,
240,이데아게임즈,0.15824445555438776,0.33333070297565415,0,
250,이데아게임즈,0.6120650296867357,0.6120650296867357,1,넷마블
251,이데아게임즈,,,-1,
253,이데아게임즈,0.05460426733761021,0.05460426733761021,99,
256,인디스앤,0.0,0.0,0,
265,인디스앤,,,1,-
266,인디스앤,,,-1,
268,인디스앤,1.0,1.0,99,
271,인디스에어,0.9939969959963295,0.9976154094781219,0,
280,인디스에어,,,1,-
281,인디스에어,,,-1,
283,인디스에어,0.0023845905218780926,0.0023845905218780926,99,
286,"잼팟(구, 천백십일)",0.1,0.22,0,
295,"잼팟(구, 천백십일)",0.57,0.57,1,넷마블
296,"잼팟(구, 천백십일)",,,-1,
298,"잼팟(구, 천백십일)",0.21,0.21,99,
301,지스퀘어피에프브이,0.0,0.0,0,
310,지스퀘어피에프브이,0.8836666666666667,0.8836666666666667,1,넷마블
311,지스퀘어피에프브이,,,-1,
313,지스퀘어피에프브이,0.11633333333333333,0.11633333333333333,99,
316,지타운피에프브이,0.0,0.0,0,
325,지타운피에프브이,0.2,0.2,1,넷마블
326,지타운피에프브이,0.15,0.15,1,넷마블넥서스
327,지타운피에프브이,0.2,0.2,1,넷마블엔투
328,지타운피에프브이,0.19,0.19,1,엔탑자산관리
329,지타운피에프브이,,,-1,
331,지타운피에프브이,0.26,0.26,99,
334,코웨이,0.0,0.017085237255764153,0,
343,코웨이,0.2508338965814986,0.2508338965814986,1,넷마블
344,코웨이,,,-1,
346,코웨이,0.7320808661627373,0.7320808661627373,99,
349,코웨이엔텍,0.0,0.0,0,
358,코웨이엔텍,1.0,1.0,1,코웨이
359,코웨이엔텍,,,-1,
361,코웨이엔텍,0.0,0.0,99,
364,포천맑은물,0.0,0.0,0,
373,포천맑은물,0.6998384491114701,0.6998384491114701,1,코웨이엔텍
374,포천맑은물,,,-1,
376,포천맑은물,0.30016155088852986,0.30016155088852986,99,
379,화이버텍,0.0,0.9001151943523514,0,
389,화이버텍,,,1,-
390,화이버텍,,,-1,
392,화이버텍,0.09988480564764858,0.09988480564764858,99,
