,firmname,own,own2,type,ownername
0,농협경제지주,1.0,1.0,0,
9,농협경제지주,,,1,-
10,농협경제지주,,,-1,
12,농협경제지주,0.0,0.0,99,
15,농협하나로유통,0.0,0.0,0,
24,농협하나로유통,1.0,1.0,1,농협경제지주
25,농협하나로유통,,,-1,
27,농협하나로유통,0.0,0.0,99,
30,농협유통,0.0,0.0,0,
39,농협유통,1.0,1.0,1,농협경제지주
40,농협유통,,,-1,
42,농협유통,0.0,0.0,99,
45,농협충북유통,0.0,0.0,0,
54,농협충북유통,0.7090931297709924,0.7090931297709924,1,농협경제지주
55,농협충북유통,,,-1,
57,농협충북유통,0.29090687022900763,0.29090687022900763,99,
60,농협대전유통,0.0,0.0,0,
69,농협대전유통,0.939157265966482,0.939157265966482,1,농협경제지주
70,농협대전유통,,,-1,
72,농협대전유통,0.060842734033518045,0.060842734033518045,99,
75,농협부산경남유통,0.0,0.0,0,
84,농협부산경남유통,1.0,1.0,1,농협경제지주
85,농협부산경남유통,,,-1,
87,농협부산경남유통,0.0,0.0,99,
90,남해화학,0.0,0.034951458108635904,0,
99,남해화학,0.5599999380017767,0.5599999380017767,1,농협경제지주
100,남해화학,,,-1,
102,남해화학,0.40504860388958736,0.40504860388958736,99,
105,농협케미컬,0.0,0.0,0,
114,농협케미컬,1.0,1.0,1,농협경제지주
115,농협케미컬,,,-1,
117,농협케미컬,0.0,0.0,99,
120,농우바이오,0.0,0.0005901228285148598,0,
130,농우바이오,0.579138808679247,0.579138808679247,1,농협경제지주
131,농우바이오,,,-1,
133,농우바이오,0.42027106849223805,0.42027106849223805,99,
136,농업회사법인 농협양곡,0.0,0.0,0,
145,농업회사법인 농협양곡,0.7693574154568332,0.7693574154568332,1,농협경제지주
146,농업회사법인 농협양곡,,,-1,
148,농업회사법인 농협양곡,0.2306425845431668,0.2306425845431668,99,
151,농협홍삼,0.0,0.0,0,
160,농협홍삼,1.0,1.0,1,농협경제지주
161,농협홍삼,,,-1,
163,농협홍삼,0.0,0.0,99,
166,농협아그로,0.0,0.0,0,
175,농협아그로,0.948,0.948,1,농협경제지주
176,농협아그로,,,-1,
178,농협아그로,0.052,0.052,99,
181,농업회사법인농협흙사랑,0.0,0.0,0,
190,농업회사법인농협흙사랑,0.63919259882254,0.63919259882254,1,농협경제지주
191,농업회사법인농협흙사랑,,,-1,
193,농업회사법인농협흙사랑,0.3608074011774601,0.3608074011774601,99,
196,농협물류,0.0,0.0,0,
205,농협물류,1.0,1.0,1,농협경제지주
206,농협물류,,,-1,
208,농협물류,0.0,0.0,99,
211,NH농협무역,0.0,0.0,0,
220,NH농협무역,1.0,1.0,1,농협경제지주
221,NH농협무역,,,-1,
223,NH농협무역,0.0,0.0,99,
226,농협사료,0.0,0.0,0,
235,농협사료,1.0,1.0,1,농협경제지주
236,농협사료,,,-1,
238,농협사료,0.0,0.0,99,
241,농협목우촌,0.0,0.0,0,
250,농협목우촌,1.0,1.0,1,농협경제지주
251,농협목우촌,,,-1,
253,농협목우촌,0.0,0.0,99,
256,농업회사법인농협티엠알,0.0,0.0,0,
265,농업회사법인농협티엠알,0.6040268456375839,0.6040268456375839,1,농협사료
266,농업회사법인농협티엠알,,,-1,
268,농업회사법인농협티엠알,0.39597315436241615,0.39597315436241615,99,
279,공영홈쇼핑,0.0,0.0,0,
288,공영홈쇼핑,0.45,0.45,1,농협경제지주
289,공영홈쇼핑,,,-1,
291,공영홈쇼핑,0.55,0.55,99,
294,농업회사법인 농협식품,0.0,0.0,0,
303,농업회사법인 농협식품,1.0,1.0,1,농협경제지주
