,firmname,own,own2,type,ownername
0,대림산업,0.0017338082901554404,0.018433704663212435,0,
8,대림산업,0.19601455958549222,0.19601455958549222,1,대림코퍼레이션
10,대림산업,0.7855517357512953,0.7855517357512953,99,
14,대림코퍼레이션,0.5277700865690789,0.6734205980246949,0,
20,대림코퍼레이션,0.32657940197530505,0.32657940197530505,99,
22,고려개발,,0.0015737986637324726,0,
24,고려개발,0.5269855712989443,0.5269855712989443,1,대림산업
25,고려개발,0.032132269098568256,0.032132269098568256,1,켐텍
27,고려개발,0.439308360938755,0.439308360938755,99,
29,삼호,0.009305742921201817,0.017107378335081056,0,
35,삼호,0.7293802157424562,0.7293802157424562,1,대림산업
37,삼호,0.2535124059224628,0.2535124059224628,99,
39,대림자동차공업,0.5902017697379108,0.5902017697379108,1,대림산업
41,대림자동차공업,0.40979823026208917,0.40979823026208917,99,
43,글래드호텔앤리조트,1.0,1.0,1,대림산업
51,대림씨엔에스,0.04440090741816629,0.0678922084736922,0,
55,대림씨엔에스,0.5080822281148358,0.5080822281148358,1,대림산업
56,대림씨엔에스,0.015772528742069063,0.015772528742069063,1,대림코퍼레이션
58,대림씨엔에스,0.4082530346694029,0.4082530346694029,99,
60,송도파워,1.0,1.0,1,대림산업
63,포천파워,0.4000001124360992,0.4000001124360992,1,대림에너지
64,포천파워,0.0578242795636869,0.0578242795636869,1,대림산업
66,포천파워,0.5421756080002139,0.5421756080002139,99,
68,험프리에스엘큐원,0.35300349520033575,0.35300349520033575,1,대림산업
69,험프리에스엘큐원,0.09999911959689277,0.09999911959689277,1,대림코퍼레이션
71,험프리에스엘큐원,0.5469973852027715,0.5469973852027715,99,
73,에코술이홀,1.0,1.0,1,대림산업
76,김해동서터널,0.39,0.39,1,삼호
77,김해동서터널,0.37,0.37,1,대림산업
79,김해동서터널,0.24,0.24,99,
83,켐텍,1.0,1.0,0,
86,에이플러스디,1.0,1.0,1,글래드호텔앤리조트
89,제주항공우주호텔,0.421,0.421,1,대림산업
91,제주항공우주호텔,0.579,0.579,99,
93,덕송내각고속화도로,0.5447095246767437,0.5447095246767437,1,대림산업
95,덕송내각고속화도로,0.4552904753232562,0.4552904753232562,99,
97,밀머란에스피씨,0.6123499052803917,0.6123499052803917,1,대림에너지
99,밀머란에스피씨,0.3876500947196084,0.3876500947196084,99,
101,대림에너지,0.7000000047116645,0.7000000047116645,1,대림산업
102,대림에너지,0.2999999952883355,0.2999999952883355,1,대림코퍼레이션
105,하이웨이솔라,0.4,0.4,1,포천파워
107,하이웨이솔라,0.6,0.6,99,
109,포승그린파워,0.6334366197183099,0.6334366197183099,1,대림에너지
111,포승그린파워,0.36656338028169017,0.36656338028169017,99,
113,청진이삼프로젝트,0.4846157414655927,0.4846157414655927,1,대림산업
115,청진이삼프로젝트,0.5153842585344073,0.5153842585344073,99,
117,청진이삼자산관리,0.8059,0.8059,1,대림산업
119,청진이삼자산관리,0.1941,0.1941,99,
121,대림에이엠씨,0.82,0.82,1,대림코퍼레이션
122,대림에이엠씨,0.09,0.09,1,대림산업
123,대림에이엠씨,0.09,0.09,1,에이플러스디
126,대림제5호천안원성동기업형임대위탁관리부동산투자회사,1.0,1.0,1,대림산업
129,대림제6호부산우암동기업형임대위탁관리 부동산투자회사,1.0,1.0,1,대림산업
132,대림오토바이,0.5902017094017094,0.5902017094017094,1,대림산업
134,대림오토바이,0.4097982905982906,0.4097982905982906,99,
