,firmname,own,own2,type,ownername
0,대한항공,0.00042980372095260727,0.03385147737551648,0,
28,대한항공,0.2962490668063093,0.2962490668063093,1,한진칼
29,대한항공,,,-1,
31,대한항공,0.6698994558181742,0.6698994558181742,99,
34,한진칼,0.25344134237424937,0.28715806650129966,0,
57,한진칼,,,1,-
58,한진칼,,,-1,
60,한진칼,0.7128419334987003,0.7128419334987003,99,
63,한진,0.06970797323948179,0.1236831354487344,0,
70,한진,0.22190023663310243,0.22190023663310243,1,한진칼
72,한진,0.6544166279181631,0.6544166279181631,99,
74,한국공항,0.0,0.03422199974418535,0,
83,한국공항,0.5953640700426831,0.5953640700426831,1,대한항공
84,한국공항,,,-1,
86,한국공항,0.3704139302131315,0.3704139302131315,99,
89,정석기업,0.2870062169112332,0.5172674831337651,0,
98,정석기업,0.48273251686623486,0.48273251686623486,1,한진칼
99,정석기업,,,-1,
101,정석기업,0.0,0.0,99,
104,한진관광,0.0,0.0,0,
119,한진관광,1.0,1.0,1,한진칼
120,한진관광,,,-1,
122,한진관광,0.0,0.0,99,
125,토파스여행정보,0.006474289444549153,0.006474289444549153,0,
140,토파스여행정보,0.9435262722346971,0.9435262722346971,1,한진칼
141,토파스여행정보,,,1,-
142,토파스여행정보,,,-1,
144,토파스여행정보,0.0499994383207538,0.0499994383207538,99,
147,한진정보통신,0.006477857142857143,0.006477857142857143,0,
162,한진정보통신,0.9935221428571429,0.9935221428571429,1,대한항공
163,한진정보통신,,,1,-
164,한진정보통신,,,-1,
166,한진정보통신,0.0,0.0,99,
169,진에어,0.0,4.3333333333333334e-05,0,
184,진에어,0.6,0.6,1,한진칼
185,진에어,,,1,
186,진에어,,,-1,
188,진에어,0.3999566666666667,0.3999566666666667,99,
191,싸이버스카이,0.0,0.0,0,
206,싸이버스카이,1.0,1.0,1,대한항공
207,싸이버스카이,,,1,
208,싸이버스카이,,,-1,
210,싸이버스카이,0.0,0.0,99,
213,에어코리아,0.0,0.0,0,
228,에어코리아,1.0,1.0,1,한국공항
229,에어코리아,,,1,
230,에어코리아,,,-1,
232,에어코리아,0.0,0.0,99,
235,제동레저,0.0,0.0,0,
250,제동레저,1.0,1.0,1,한진칼
251,제동레저,,,1,
252,제동레저,,,-1,
254,제동레저,0.0,0.0,99,
257,칼호텔네트워크,0.0,0.0,0,
272,칼호텔네트워크,1.0,1.0,1,한진칼
273,칼호텔네트워크,,,1,
274,칼호텔네트워크,,,-1,
276,칼호텔네트워크,0.0,0.0,99,
279,한국글로발로지스틱스시스템,0.0,0.0,0,
294,한국글로발로지스틱스시스템,0.95,0.95,1,대한항공
295,한국글로발로지스틱스시스템,0.05,0.05,1,GLSAP
296,한국글로발로지스틱스시스템,,,-1,
298,한국글로발로지스틱스시스템,0.0,0.0,99,
301,한진인천컨테이너터미널,0.0,0.0,0,
316,한진인천컨테이너터미널,1.0,1.0,1,한진
317,한진인천컨테이너터미널,,,1,
318,한진인천컨테이너터미널,,,-1,
320,한진인천컨테이너터미널,0.0,0.0,99,
323,항공종합서비스,0.0,0.0,0,
338,항공종합서비스,1.0,1.0,1,대한항공
339,항공종합서비스,,,1,
340,항공종합서비스,,,-1,
342,항공종합서비스,0.0,0.0,99,
345,포항항7부두운영,0.0,0.0,0,
360,포항항7부두운영,0.28,0.28,1,한진
361,포항항7부두운영,,,1,
362,포항항7부두운영,,,-1,
364,포항항7부두운영,0.72,0.72,99,
367,부산글로벌물류센터,0.0,0.0,0,
382,부산글로벌물류센터,0.51,0.51,1,한진
383,부산글로벌물류센터,,,1,
384,부산글로벌물류센터,,,-1,
386,부산글로벌물류센터,0.49,0.49,99,
389,평택컨테이너터미날,0.0,0.0,0,
404,평택컨테이너터미날,0.68,0.68,1,한진
405,평택컨테이너터미날,,,1,
406,평택컨테이너터미날,,,-1,
408,평택컨테이너터미날,0.32,0.32,99,
411,한진부산컨테이너터미널,0.0,0.0,0,
426,한진부산컨테이너터미널,0.6286729274116828,0.6286729274116828,1,한진
427,한진부산컨테이너터미널,,,1,
428,한진부산컨테이너터미널,,,-1,
430,한진부산컨테이너터미널,0.3713270725883172,0.3713270725883172,99,
433,아이에이티,0.0,0.0,0,
448,아이에이티,0.8613077903633277,0.8613077903633277,1,대한항공
449,아이에이티,,,1,
450,아이에이티,,,-1,
452,아이에이티,0.13869220963667228,0.13869220963667228,99,
