,firmname,own,own2,type,ownername
0,부영,0.9597618571428572,1.0000000000000002,0,
9,부영,,,1,-
10,부영,,,-1,
12,부영,0.0,0.0,99,
15,부영주택,0.0,0.0,0,
24,부영주택,1.0,1.0,1,부영
25,부영주택,,,-1,
27,부영주택,0.0,0.0,99,
30,동광주택산업,0.9804347826086957,1.0,0,
47,동광주택산업,,,1,-
48,동광주택산업,,,-1,
50,동광주택산업,0.0,0.0,99,
53,동광주택,0.0,0.0,0,
62,동광주택,1.0,1.0,1,동광주택산업
63,동광주택,,,-1,
65,동광주택,0.0,0.0,99,
68,광영토건,0.5116115,1.0,0,
77,광영토건,,,1,-
78,광영토건,,,-1,
80,광영토건,0.0,0.0,99,
83,남광건설산업,1.0,1.0,0,
92,남광건설산업,,,1,-
93,남광건설산업,,,-1,
95,남광건설산업,0.0,0.0,99,
98,남양개발,1.0,1.0,0,
107,남양개발,,,1,-
108,남양개발,,,-1,
110,남양개발,0.0,0.0,99,
113,부영씨씨,0.0,0.0,0,
122,부영씨씨,1.0,1.0,1,남광건설산업
123,부영씨씨,,,-1,
125,부영씨씨,0.0,0.0,99,
128,대화도시가스,0.95,1.0,0,
137,대화도시가스,,,1,-
138,대화도시가스,,,-1,
140,대화도시가스,0.0,0.0,99,
143,부강주택관리,1.0,1.0,0,
152,부강주택관리,,,1,-
153,부강주택관리,,,-1,
155,부강주택관리,0.0,0.0,99,
158,부영엔터테인먼트,1.0,1.0,0,
167,부영엔터테인먼트,,,1,-
168,부영엔터테인먼트,,,-1,
170,부영엔터테인먼트,0.0,0.0,99,
173,부영환경산업,0.0,0.0,0,
182,부영환경산업,1.0,1.0,1,부영주택
183,부영환경산업,,,-1,
185,부영환경산업,0.0,0.0,99,
188,무주덕유산리조트,0.0,0.2430250638031904,0,
197,무주덕유산리조트,0.7494683983390288,0.7494683983390288,1,부영주택
198,무주덕유산리조트,,,-1,
200,무주덕유산리조트,0.007506537857780863,0.007506537857780863,99,
203,부영유통,0.0,0.0,0,
212,부영유통,1.0,1.0,1,부영주택
213,부영유통,,,-1,
215,부영유통,0.0,0.0,99,
218,비와이월드,0.0,0.0,0,
227,비와이월드,1.0,1.0,1,부영주택
228,비와이월드,,,-1,
230,비와이월드,0.0,0.0,99,
233,천원종합개발,0.0,0.0,0,
242,천원종합개발,0.9954948722628674,0.9954948722628674,1,부영주택
243,천원종합개발,,,-1,
245,천원종합개발,0.0045051277371326,0.0045051277371326,99,
248,오투리조트,0.0,0.0,0,
257,오투리조트,1.0,1.0,1,부영주택
258,오투리조트,,,-1,
260,오투리조트,0.0,0.0,99,
263,더클래식씨씨,0.0,0.0,0,
272,더클래식씨씨,0.9888401404883471,0.9888401404883471,1,부영주택
273,더클래식씨씨,,,-1,
275,더클래식씨씨,0.011159859511652933,0.011159859511652933,99,
278,한라일보사,0.4899988216175628,0.4899988216175628,0,
287,한라일보사,,,1,-
288,한라일보사,,,-1,
290,한라일보사,0.5100011783824372,0.5100011783824372,99,
293,에이치아이엠,0.0,0.0,0,
302,에이치아이엠,1.0,1.0,1,한라일보사
303,에이치아이엠,,,-1,
305,에이치아이엠,0.0,0.0,99,
308,인천일보,0.0,0.0,0,
317,인천일보,0.49869839718335146,0.49869839718335146,1,부영주택
318,인천일보,,,-1,
320,인천일보,0.5013016028166486,0.5013016028166486,99,
323,인천출판사,0.0,0.0,0,
332,인천출판사,1.0,1.0,1,인천일보
333,인천출판사,,,-1,
335,인천출판사,0.0,0.0,99,
338,부영대부파이낸스,0.900001,0.900001,0,
347,부영대부파이낸스,,,1,-
348,부영대부파이낸스,,,-1,
350,부영대부파이낸스,0.099999,0.099999,99,
