,firmname,own,own2,type,ownername
0,셀트리온홀딩스,0.961140159982144,0.9770924213629009,0,
8,셀트리온홀딩스,0.022907578637099184,0.022907578637099184,99,
45,셀트리온,0.0015740081339325532,0.013704953990549452,0,
62,셀트리온,0.20014950626541594,0.20014950626541594,1,셀트리온홀딩스
63,셀트리온,0.02123080920012901,0.02123080920012901,1,셀트리온스킨큐어
65,셀트리온,0.7649147305439056,0.7649147305439056,99,
68,셀트리온헬스케어,0.3591148935632891,0.37666055653877323,0,
96,셀트리온헬스케어,0.0139373745359136,0.0139373745359136,1,셀트리온스킨큐어
98,셀트리온헬스케어,0.6094020689253132,0.6094020689253132,99,
101,셀트리온스킨큐어,0.7367886006195808,0.8225212520742365,0,
110,셀트리온스킨큐어,0.17747874792576357,0.17747874792576357,99,
120,셀트리온제약,0.00028674257122952813,0.0018648685061838938,0,
125,셀트리온제약,0.550094478903996,0.550094478903996,1,셀트리온
126,셀트리온제약,,,-1,
128,셀트리온제약,0.4480406525898201,0.4480406525898201,99,
131,셀트리온엔터테인먼트,1.0,1.0,1,셀트리온홀딩스
133,셀트리온엔터테인먼트,0.0,0.0,99,
138,티에스이엔씨,1.0,1.0,0,
140,티에스이엔씨,0.0,0.0,99,
144,티에스이엔엠,0.33,0.33,0,
145,티에스이엔엠,0.6,0.6,1,티에스이엔씨
147,티에스이엔엠,0.07,0.07,99,
150,셀트리온충북대바이오메딕스,0.5,0.5,1,셀트리온
152,셀트리온충북대바이오메딕스,0.5,0.5,99,
155,셀트리온충북대코스메틱스,0.5,0.5,1,셀트리온스킨큐어
157,셀트리온충북대코스메틱스,0.5,0.5,99,
