,firmname,own,own2,type,ownername
0,신세계,0.28054730532633176,0.28150208716325276,0,
10,신세계,,,1,-
11,신세계,,,-1,
13,신세계,0.7184979128367472,0.7184979128367472,99,
16,신세계디에프,0.0,0.0,0,
25,신세계디에프,1.0,1.0,1,신세계
26,신세계디에프,,,-1,
28,신세계디에프,0.0,0.0,99,
31,신세계동대구복합환승센터,0.0,0.0,0,
40,신세계동대구복합환승센터,0.6099563166171589,0.6099563166171589,1,신세계
41,신세계동대구복합환승센터,,,-1,
43,신세계동대구복합환승센터,0.3900436833828412,0.3900436833828412,99,
48,광주신세계,0.52083125,0.5261825,0,
57,광주신세계,0.10416875,0.10416875,1,신세계
58,광주신세계,,,-1,
60,광주신세계,0.36964875,0.36964875,99,
63,서울고속버스터미널,0.0,0.0,0,
72,서울고속버스터미널,0.6495248104167938,0.6495248104167938,1,신세계센트럴시티
73,서울고속버스터미널,,,-1,
75,서울고속버스터미널,0.3504751895832063,0.3504751895832063,99,
78,신세계센트럴시티,0.0,0.0068354999999999996,0,
87,신세계센트럴시티,0.60019565,0.60019565,1,신세계
88,신세계센트럴시티,,,-1,
90,신세계센트럴시티,0.39296885,0.39296885,99,
93,신세계의정부역사,0.0,0.0,0,
102,신세계의정부역사,0.2755,0.2755,1,신세계
103,신세계의정부역사,0.25,0.25,1,광주신세계
104,신세계의정부역사,0.199,0.199,1,신세계건설
105,신세계의정부역사,,,-1,
107,신세계의정부역사,0.2755,0.2755,99,
110,까사미아,0.0,0.0,0,
119,까사미아,0.9567978350394036,0.9567978350394036,1,신세계
120,까사미아,,,-1,
122,까사미아,0.043202164960596354,0.043202164960596354,99,
125,신세계인터내셔날,0.19341232492997198,0.193866106442577,0,
135,신세계인터내셔날,0.457624649859944,0.457624649859944,1,신세계
136,신세계인터내셔날,,,-1,
138,신세계인터내셔날,0.348509243697479,0.348509243697479,99,
141,신세계톰보이,0.0,0.002657926203464782,0,
153,신세계톰보이,0.9577914269607253,0.9577914269607253,1,신세계인터내셔날
154,신세계톰보이,,,-1,
156,신세계톰보이,0.03955064683580992,0.03955064683580992,99,
159,신세계사이먼,0.0,0.0,0,
168,신세계사이먼,0.25,0.25,1,신세계
169,신세계사이먼,0.25,0.25,1,신세계인터내셔날
170,신세계사이먼,,,-1,
172,신세계사이먼,0.5,0.5,99,
