,firmname,own,own2,type,ownername
0,아모레퍼시픽그룹,0.5298439748672185,0.6437899288654569,0,
15,아모레퍼시픽그룹,,,1,-
16,아모레퍼시픽그룹,,,-1,
18,아모레퍼시픽그룹,0.35594958651126135,0.35594958651126135,99,
21,아모레퍼시픽,0.09288310359057105,0.11146878013779929,0,
31,아모레퍼시픽,0.33642103780671007,0.33642103780671007,1,아모레퍼시픽그룹
32,아모레퍼시픽,,,-1,
34,아모레퍼시픽,0.5521101820554907,0.5521101820554907,99,
37,이니스프리,0.18183677643689916,0.18183677643689916,0,
46,이니스프리,0.8181632235631008,0.8181632235631008,1,아모레퍼시픽그룹
47,이니스프리,,,-1,
49,이니스프리,0.0,0.0,99,
52,에뛰드,0.19524631789990857,0.19524769490069072,0,
61,에뛰드,0.8047523050993093,0.8047523050993093,1,아모레퍼시픽그룹
62,에뛰드,,,-1,
64,에뛰드,0.0,0.0,99,
67,아모스프로페셔널,0.0,0.0,0,
76,아모스프로페셔널,1.0,1.0,1,아모레퍼시픽그룹
77,아모스프로페셔널,,,-1,
79,아모스프로페셔널,0.0,0.0,99,
82,에스쁘아,0.19524594668865072,0.1952508538452479,0,
91,에스쁘아,0.8047491461547521,0.8047491461547521,1,아모레퍼시픽그룹
92,에스쁘아,,,-1,
94,에스쁘아,0.0,0.0,99,
97,오설록,0.0,0.0,0,
106,오설록,1.0,1.0,1,아모레퍼시픽그룹
107,오설록,,,-1,
109,오설록,0.0,0.0,99,
112,에스트라,0.0,0.0,0,
121,에스트라,1.0,1.0,1,아모레퍼시픽그룹
122,에스트라,,,-1,
124,에스트라,0.0,0.0,99,
127,퍼시픽글라스,0.0,0.0,0,
136,퍼시픽글라스,1.0,1.0,1,아모레퍼시픽그룹
137,퍼시픽글라스,,,-1,
139,퍼시픽글라스,0.0,0.0,99,
142,퍼시픽패키지,0.0,0.0,0,
151,퍼시픽패키지,1.0,1.0,1,아모레퍼시픽그룹
152,퍼시픽패키지,,,-1,
154,퍼시픽패키지,0.0,0.0,99,
157,농업회사법인 오설록농장,0.0,0.01574028529267093,0,
166,농업회사법인 오설록농장,0.9837678307919331,0.9837678307919331,1,아모레퍼시픽그룹
167,농업회사법인 오설록농장,,,-1,
169,농업회사법인 오설록농장,0.0004918839153959665,0.0004918839153959665,99,
172,코스비전,0.0,0.0,0,
181,코스비전,1.0,1.0,1,아모레퍼시픽그룹
182,코스비전,,,-1,
184,코스비전,0.0,0.0,99,
187,위드림,0.0,0.0,0,
196,위드림,1.0,1.0,1,아모레퍼시픽
197,위드림,,,-1,
199,위드림,0.0,0.0,99,
202,코어테크놀로지,0.0,0.0,0,
211,코어테크놀로지,0.8,0.8,1,아모레퍼시픽
212,코어테크놀로지,,,-1,
214,코어테크놀로지,0.2,0.2,99,
217,그린파트너즈,0.0,0.0,0,
226,그린파트너즈,1.0,1.0,1,오설록
227,그린파트너즈,,,-1,
229,그린파트너즈,0.0,0.0,99,
