,firmname,own,own2,type,ownername
0,엔엑스씨,0.9828090080797662,0.9828090080797662,0,
5,엔엑스씨,0.017190991920233798,0.017190991920233798,1,유한책임회사와이즈키즈
8,아퀴스코리아,1.0,1.0,1,엔엑스씨
11,스토케코리아(유),1.0,1.0,1,STOKKE AS
14,(유)가승개발,0.5,0.5,1,엔엑스씨
16,(유)가승개발,0.5,0.5,99,
20,유한책임회사와이즈키즈,1.0,1.0,0,
23,유한책임회사 엔엑스프로퍼티스,1.0,1.0,1,유한책임회사 와이즈키즈
26,넥슨코리아,1.0,1.0,1,"NEXON Co., Ltd."
29,넥슨네트웍스,1.0,1.0,1,넥슨코리아
32,넥슨스페이스,1.0,1.0,1,넥슨코리아
35,네오플,1.0,1.0,1,넥슨코리아
38,넥슨지티,,0.030161798204873153,0,
40,넥슨지티,0.631555696126024,0.631555696126024,1,넥슨코리아
42,넥슨지티,0.33828250566910284,0.33828250566910284,99,
44,띵소프트,1.0,1.0,1,네오플
47,넥슨커뮤니케이션즈,1.0,1.0,1,넥슨코리아
50,블록체인엔터테인먼트랩,1.0,1.0,1,넥슨코리아
53,엔미디어플랫폼,1.0,1.0,1,넥슨코리아
56,중앙판교개발,0.9990245203042747,0.9990245203042747,1,넥슨지티
58,중앙판교개발,0.0009754796957253436,0.0009754796957253436,99,
60,티디에프,1.0,1.0,1,넥슨코리아
63,브이아이피사모주식형펀드일호,1.0,1.0,1,엔엑스씨
