,firmname,own,own2,type,ownername
0,영풍,0.4009923780156783,0.6076132982997111,0,
17,영풍,0.04389155501509196,0.04389155501509196,1,영풍정밀
18,영풍,0.15525450044515862,0.15525450044515862,1,영풍개발
19,영풍,,,-1,
21,영풍,0.19324064624003823,0.19324064624003823,99,
24,영풍개발,0.33,0.5940000000000001,0,
37,영풍개발,0.34,0.34,1,영풍문고
38,영풍개발,,,-1,
40,영풍개발,0.066,0.066,99,
43,영풍문고,0.145,0.406,0,
55,영풍문고,0.33,0.33,1,씨케이(유)
56,영풍문고,,,-1,
58,영풍문고,0.264,0.264,99,
61,영풍전자,0.0,0.0,0,
72,영풍전자,1.0,1.0,1,영풍
73,영풍전자,,,-1,
75,영풍전자,0.0,0.0,99,
78,시그네틱스,0.08848588294376797,0.08848588294376797,0,
87,시그네틱스,0.31618758324189233,0.31618758324189233,1,영풍
88,시그네틱스,0.01946835094246978,0.01946835094246978,1,영풍전자
89,시그네틱스,,,-1,
91,시그네틱스,0.57585818287187,0.57585818287187,99,
94,코리아써키트,0.1012176487825339,0.10276599849319343,0,
106,코리아써키트,0.3716467890478108,0.3716467890478108,1,영풍
107,코리아써키트,0.08212062929269974,0.08212062929269974,1,시그네틱스
108,코리아써키트,0.003701029699873653,0.003701029699873653,1,씨케이(유)
109,코리아써키트,,,-1,
111,코리아써키트,0.4397655534664224,0.4397655534664224,99,
114,인터플렉스,0.0,0.0002143395563822775,0,
123,인터플렉스,0.30562364408796633,0.30562364408796633,1,코리아써키트
124,인터플렉스,0.06011551530315844,0.06011551530315844,1,고려아연
125,인터플렉스,0.11142424691368186,0.11142424691368186,1,테라닉스
126,인터플렉스,2.1262483993121928e-05,2.1262483993121928e-05,1,씨케이(유)
127,인터플렉스,,,-1,
129,인터플렉스,0.522600991654818,0.522600991654818,99,
132,테라닉스,0.005357142857142857,0.029196428571428575,0,
141,테라닉스,0.5009345238095239,0.5009345238095239,1,코리아써키트
142,테라닉스,0.41623809523809524,0.41623809523809524,1,영풍
143,테라닉스,,,-1,
145,테라닉스,0.05363095238095238,0.05363095238095238,99,
148,씨케이(유),1.0,1.0,0,
160,씨케이(유),,,1,-
161,씨케이(유),,,-1,
163,씨케이(유),0.0,0.0,99,
166,와이투북스,0.0,0.0,0,
175,와이투북스,0.5000001111111111,0.5000001111111111,1,영풍문고
176,와이투북스,,,-1,
178,와이투북스,0.4999998888888889,0.4999998888888889,99,
181,고려아연,0.05966338102808691,0.18673232644409116,0,
201,고려아연,0.26912013778484367,0.26912013778484367,1,영풍
202,고려아연,0.015639109697933227,0.015639109697933227,1,영풍정밀
203,고려아연,0.009379968203497615,0.009379968203497615,1,유미개발
204,고려아연,0.0011251192368839427,0.0011251192368839427,1,테라닉스
205,고려아연,,,-1,
207,고려아연,0.5180033386327504,0.5180033386327504,99,
210,코리아니켈,0.005,0.11305555555555555,0,
219,코리아니켈,0.19,0.19,1,고려아연
220,코리아니켈,0.13,0.13,1,영풍
221,코리아니켈,,,-1,
223,코리아니켈,0.5669444444444445,0.5669444444444445,99,
226,서린상사,0.1833346767043348,0.35346025502555095,0,
238,서린상사,0.49973723663211517,0.49973723663211517,1,고려아연
239,서린상사,0.10000161204520175,0.10000161204520175,1,영풍개발
240,서린상사,,,-1,
242,서린상사,0.046800896297132175,0.046800896297132175,99,
245,영풍정밀,0.2125453968253968,0.39712933333333333,0,
261,영풍정밀,0.05406285714285714,0.05406285714285714,1,유미개발
262,영풍정밀,,,-1,
264,영풍정밀,0.5488078095238095,0.5488078095238095,99,
267,유미개발,0.0,0.6675395033860044,0,
282,유미개발,,,1,-
283,유미개발,,,-1,
285,유미개발,0.33246049661399546,0.33246049661399546,99,
288,클린코리아,0.0,0.0,0,
297,클린코리아,1.0,1.0,1,고려아연
298,클린코리아,,,-1,
300,클린코리아,0.0,0.0,99,
303,서린정보기술,0.33333,0.49665000000000004,0,
315,서린정보기술,0.33337,0.33337,1,고려아연
316,서린정보기술,,,-1,
318,서린정보기술,0.16998,0.16998,99,
321,케이지엑스,0.0,0.0,0,
330,케이지엑스,1.0,1.0,1,고려아연
331,케이지엑스,,,-1,
333,케이지엑스,0.0,0.0,99,
336,엑스메텍,0.0,0.0,0,
347,엑스메텍,1.0,1.0,1,영풍
348,엑스메텍,,,-1,
350,엑스메텍,0.0,0.0,99,
353,농업회사법인에스피팜랜드(유),0.0,0.1,0,
364,농업회사법인에스피팜랜드(유),0.9,0.9,1,영풍
365,농업회사법인에스피팜랜드(유),,,-1,
367,농업회사법인에스피팜랜드(유),0.0,0.0,99,
370,알란텀,0.001702648672052777,0.5621826660841418,0,
382,알란텀,0.16699349017515774,0.16699349017515774,1,고려아연
383,알란텀,0.17970018987550185,0.17970018987550185,1,코리아니켈
384,알란텀,0.028378926426701215,0.028378926426701215,1,영풍
385,알란텀,,,-1,
387,알란텀,0.06274472743849734,0.06274472743849734,99,
390,케이지그린텍,0.0,0.0,0,
399,케이지그린텍,1.0,1.0,1,고려아연
400,케이지그린텍,,,-1,
402,케이지그린텍,0.0,0.0,99,
