,firmname,own,own2,type,ownername
0,중흥건설,0.9062006881602912,0.9062006881602912,0,
11,중흥건설,0.09379931183970876,0.09379931183970876,1,중흥건설산업
12,중흥건설,,,-1,
14,중흥건설,0.0,0.0,99,
17,(자)중흥주택,0.9948006932409013,0.9948006932409013,0,
29,(자)중흥주택,0.005199306759098787,0.005199306759098787,1,중흥건설산업
31,(자)중흥주택,0.0,0.0,99,
34,중흥건설산업,0.9566457441948197,0.9566457441948197,0,
46,중흥건설산업,0.04335425580518026,0.04335425580518026,1,(자)중흥주택
48,중흥건설산업,0.0,0.0,99,
51,중흥토건,1.0,1.0,0,
60,중흥토건,,,1,
62,중흥토건,0.0,0.0,99,
65,중흥에스클래스,0.1,0.1,0,
74,중흥에스클래스,0.9,0.9,1,중흥토건
76,중흥에스클래스,0.0,0.0,99,
79,순천에코밸리,0.0,0.0,0,
88,순천에코밸리,0.8646464646464647,0.8646464646464647,1,(자)중흥주택
89,순천에코밸리,0.08484848484848485,0.08484848484848485,1,중흥건설산업
90,순천에코밸리,0.050505050505050504,0.050505050505050504,1,중흥건설
92,순천에코밸리,0.0,0.0,99,
95,중흥산업개발,0.16782608695652174,0.16782608695652174,0,
104,중흥산업개발,0.32608695652173914,0.32608695652173914,1,중흥에스클래스
105,중흥산업개발,0.5060869565217392,0.5060869565217392,1,중흥개발
107,중흥산업개발,0.0,0.0,99,
110,중흥개발,0.4,0.4,0,
119,중흥개발,0.1,0.1,1,(자)중흥주택
120,중흥개발,0.5,0.5,1,중흥건설
122,중흥개발,0.0,0.0,99,
125,중봉건설,0.0,0.0,0,
134,중봉건설,1.0,1.0,1,중흥토건
136,중봉건설,0.0,0.0,99,
139,중봉산업개발,0.0,0.0,0,
148,중봉산업개발,0.5,0.5,1,중흥개발
149,중봉산업개발,0.5,0.5,1,중봉건설
151,중봉산업개발,0.0,0.0,99,
154,제이원산업개발,0.0,0.0,0,
163,제이원산업개발,0.5,0.5,1,중흥산업개발
164,제이원산업개발,0.5,0.5,1,중흥에스클래스
166,제이원산업개발,0.0,0.0,99,
169,세흥산업개발,0.0,0.0,0,
178,세흥산업개발,0.375,0.375,1,나주관광개발
179,세흥산업개발,0.5,0.5,1,중흥건설
180,세흥산업개발,0.125,0.125,1,중흥토건
182,세흥산업개발,0.0,0.0,99,
