,firmname,own,own2,type,ownername
0,케이씨씨,0.3950869810974458,0.4643486711429093,0,
19,케이씨씨,,,1,-
20,케이씨씨,,,-1,
22,케이씨씨,0.5356513288570908,0.5356513288570908,99,
25,케이씨씨건설,0.2998606074766355,0.3059938785046729,0,
34,케이씨씨건설,0.36032757009345795,0.36032757009345795,1,케이씨씨
35,케이씨씨건설,0.0025700934579439253,0.0025700934579439253,1,세우실업
36,케이씨씨건설,,,-1,
38,케이씨씨건설,0.33110845794392524,0.33110845794392524,99,
41,케이씨씨글라스,0.39357752679273933,0.39446636671413055,0,
59,케이씨씨글라스,0.06849456480735215,0.06849456480735215,1,케이씨씨
60,케이씨씨글라스,,,-1,
62,케이씨씨글라스,0.5370390684785173,0.5370390684785173,99,
65,코리아오토글라스,0.299,0.299,0,
75,코리아오토글라스,0.199,0.199,1,케이씨씨 글라스
76,코리아오토글라스,0.002525,0.002525,1,세우실업
77,코리아오토글라스,,,-1,
79,코리아오토글라스,0.499475,0.499475,99,
82,금강레저,0.7649999999999999,0.7649999999999999,0,
92,금강레저,0.205,0.205,1,케이씨씨
93,금강레저,0.03,0.03,1,케이씨씨건설
94,금강레저,,,-1,
96,금강레저,0.0,0.0,99,
99,미래,0.0,0.0,0,
108,미래,0.23570609957977842,0.23570609957977842,1,케이씨씨건설
109,미래,,,-1,
111,미래,0.7642939004202216,0.7642939004202216,99,
114,세우실업,0.65,0.65,0,
123,세우실업,0.35,0.35,1,동주피앤지
124,세우실업,,,-1,
126,세우실업,0.0,0.0,99,
129,동주상사,1.0,1.0,0,
139,동주상사,,,1,-
140,동주상사,,,-1,
142,동주상사,0.0,0.0,99,
145,동주,0.1,0.1,0,
154,동주,0.9,0.9,1,세우실업
155,동주,,,-1,
157,동주,0.0,0.0,99,
160,대호포장,1.0,1.0,0,
171,대호포장,,,1,-
172,대호포장,,,-1,
174,대호포장,0.0,0.0,99,
177,동주피앤지,1.0,1.0,0,
188,동주피앤지,,,1,-
189,동주피앤지,,,-1,
191,동주피앤지,0.0,0.0,99,
194,티앤케이정보,1.0,1.0,0,
203,티앤케이정보,,,1,-
204,티앤케이정보,,,-1,
206,티앤케이정보,0.0,0.0,99,
209,주령금속,0.0,0.0,0,
218,주령금속,1.0,1.0,1,티앤케이정보
219,주령금속,,,-1,
221,주령금속,0.0,0.0,99,
224,실바톤어쿠스틱스,1.0,1.0,0,
233,실바톤어쿠스틱스,,,1,-
234,실바톤어쿠스틱스,,,-1,
236,실바톤어쿠스틱스,0.0,0.0,99,
239,모멘티브퍼포먼스머티리얼스코리아,0.0,0.0,0,
248,모멘티브퍼포먼스머티리얼스코리아,1.0,1.0,1,Momentive Performance Materials Asia Pacific Pte Ltd
249,모멘티브퍼포먼스머티리얼스코리아,,,-1,
251,모멘티브퍼포먼스머티리얼스코리아,0.0,0.0,99,
254,-,0.0,0.0,0,
269,-,,,1,-
270,-,,,-1,
272,-,0.0,0.0,99,
