,firmname,own,own2,type,ownername
0,키움증권,0.0,0.02009249588654913,0,
18,키움증권,0.42529740483102507,0.42529740483102507,1,다우기술
19,키움증권,,,-1,
21,키움증권,0.5546100992824258,0.5546100992824258,99,
24,키움예스저축은행,0.0,0.0,0,
39,키움예스저축은행,1.0,1.0,1,키움증권
40,키움예스저축은행,,,1,-
41,키움예스저축은행,,,-1,
43,키움예스저축은행,0.0,0.0,99,
46,키움저축은행,0.0,0.0,0,
61,키움저축은행,1.0,1.0,1,키움증권
62,키움저축은행,,,1,-
63,키움저축은행,,,-1,
65,키움저축은행,0.0,0.0,99,
68,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,0.0,0.0,0,
83,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,0.2,0.2,1,키움증권
84,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,,,-1,
86,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,0.8,0.8,99,
89,에스케이에스키움파이오니어사모투자합자회사,0.0,0.0,0,
104,에스케이에스키움파이오니어사모투자합자회사,0.028708133971291867,0.028708133971291867,1,키움인베스트먼트
105,에스케이에스키움파이오니어사모투자합자회사,0.019138755980861243,0.019138755980861243,1,키움캐피탈
106,에스케이에스키움파이오니어사모투자합자회사,,,-1,
108,에스케이에스키움파이오니어사모투자합자회사,0.9521531100478469,0.9521531100478469,99,
111,코파칠레태양광(유),0.0,0.0,0,
126,코파칠레태양광(유),1.0,1.0,1,한국전력우리스프랏글로벌사모투자전문회사
127,코파칠레태양광(유),,,1,-
128,코파칠레태양광(유),,,-1,
130,코파칠레태양광(유),0.0,0.0,99,
133,키움뉴마진글로벌파트너쉽사모투자합자회사,0.0,0.0,0,
148,키움뉴마진글로벌파트너쉽사모투자합자회사,0.4825400910392305,0.4825400910392305,1,키움증권
149,키움뉴마진글로벌파트너쉽사모투자합자회사,0.08317382702546203,0.08317382702546203,1,키움인베스트먼트
150,키움뉴마진글로벌파트너쉽사모투자합자회사,,,-1,
152,키움뉴마진글로벌파트너쉽사모투자합자회사,0.43428608193530743,0.43428608193530743,99,
155,키움아이온코스닥스케일업창업벤처전문사모투자합자회사,0.0,0.0,0,
170,키움아이온코스닥스케일업창업벤처전문사모투자합자회사,0.1995012468902992,0.1995012468902992,1,키움프라이빗에쿼티
171,키움아이온코스닥스케일업창업벤처전문사모투자합자회사,0.2992518703173164,0.2992518703173164,1,키움증권
172,키움아이온코스닥스케일업창업벤처전문사모투자합자회사,,,-1,
174,키움아이온코스닥스케일업창업벤처전문사모투자합자회사,0.5012468827923844,0.5012468827923844,99,
177,키움에셋플래너,0.0,0.0,0,
192,키움에셋플래너,1.0,1.0,1,이머니
193,키움에셋플래너,,,1,-
194,키움에셋플래너,,,-1,
196,키움에셋플래너,0.0,0.0,99,
199,키움인베스트먼트,0.0,0.009464479208803916,0,
214,키움인베스트먼트,0.9654971140302615,0.9654971140302615,1,키움증권
215,키움인베스트먼트,,,1,-
216,키움인베스트먼트,,,-1,
218,키움인베스트먼트,0.025038406760934582,0.025038406760934582,99,
221,키움캐피탈,0.0,0.0,0,
236,키움캐피탈,0.98,0.98,1,키움증권
237,키움캐피탈,0.02,0.02,1,다우기술
238,키움캐피탈,,,-1,
240,키움캐피탈,0.0,0.0,99,
243,키움케이아이피헬스케어플랫폼사모투자합자회사,0.0,0.0,0,
258,키움케이아이피헬스케어플랫폼사모투자합자회사,0.06956521739130435,0.06956521739130435,1,키움프라이빗에쿼티
259,키움케이아이피헬스케어플랫폼사모투자합자회사,,,1,-
260,키움케이아이피헬스케어플랫폼사모투자합자회사,,,-1,
262,키움케이아이피헬스케어플랫폼사모투자합자회사,0.9304347826086956,0.9304347826086956,99,
265,키움투자자산운용,0.0,0.0,0,
280,키움투자자산운용,1.0,1.0,1,키움증권
281,키움투자자산운용,,,1,-
282,키움투자자산운용,,,-1,
284,키움투자자산운용,0.0,0.0,99,
287,키움프라이빗에쿼티,0.0,0.0,0,
302,키움프라이빗에쿼티,0.4,0.4,1,키움증권
303,키움프라이빗에쿼티,0.2,0.2,1,키움투자자산운용
304,키움프라이빗에쿼티,0.2,0.2,1,미래테크놀로지
305,키움프라이빗에쿼티,0.2,0.2,1,한국정보인증
306,키움프라이빗에쿼티,,,-1,
308,키움프라이빗에쿼티,0.0,0.0,99,
311,키움프라이빗에쿼티자이언트사모투자합자회사,0.0,0.0,0,
326,키움프라이빗에쿼티자이언트사모투자합자회사,0.07407407407407407,0.07407407407407407,1,키움프라이빗에쿼티
327,키움프라이빗에쿼티자이언트사모투자합자회사,0.046296296296296294,0.046296296296296294,1,키움캐피탈
328,키움프라이빗에쿼티자이언트사모투자합자회사,,,-1,
330,키움프라이빗에쿼티자이언트사모투자합자회사,0.8796296296296297,0.8796296296296297,99,
333,키움프라이빗에쿼티코리아와이드파트너스사모투자합자회사,0.0,0.0,0,
348,키움프라이빗에쿼티코리아와이드파트너스사모투자합자회사,0.2,0.2,1,키움프라이빗에쿼티
349,키움프라이빗에쿼티코리아와이드파트너스사모투자합자회사,,,1,-
350,키움프라이빗에쿼티코리아와이드파트너스사모투자합자회사,,,-1,
352,키움프라이빗에쿼티코리아와이드파트너스사모투자합자회사,0.8,0.8,99,
355,키움히어로제2호사모투자합자회사,0.0,0.0,0,
370,키움히어로제2호사모투자합자회사,0.15,0.15,1,키움증권
371,키움히어로제2호사모투자합자회사,0.05,0.05,1,키움인베스트먼트
372,키움히어로제2호사모투자합자회사,,,-1,
374,키움히어로제2호사모투자합자회사,0.8,0.8,99,
377,키움히어로제3호사모투자합자회사,0.0,0.0,0,
392,키움히어로제3호사모투자합자회사,0.3076923076923077,0.3076923076923077,1,키움증권
393,키움히어로제3호사모투자합자회사,0.07692307692307693,0.07692307692307693,1,키움인베스트먼트
394,키움히어로제3호사모투자합자회사,,,-1,
396,키움히어로제3호사모투자합자회사,0.6153846153846154,0.6153846153846154,99,
399,포스코우리이아이지글로벌사모투자전문회사,0.0,0.0,0,
414,포스코우리이아이지글로벌사모투자전문회사,0.005,0.005,1,키움투자자산운용
415,포스코우리이아이지글로벌사모투자전문회사,,,1,-
416,포스코우리이아이지글로벌사모투자전문회사,,,-1,
418,포스코우리이아이지글로벌사모투자전문회사,0.9949999999999999,0.9949999999999999,99,
421,한국전력우리스프랏글로벌사모투자전문회사,0.0,0.0,0,
436,한국전력우리스프랏글로벌사모투자전문회사,0.015000002183231907,0.015000002183231907,1,키움투자자산운용
437,한국전력우리스프랏글로벌사모투자전문회사,,,1,-
438,한국전력우리스프랏글로벌사모투자전문회사,,,-1,
440,한국전력우리스프랏글로벌사모투자전문회사,0.9849999978167681,0.9849999978167681,99,
443,한국전력우리스프랏글로벌제1차(유),0.0,0.0,0,
458,한국전력우리스프랏글로벌제1차(유),1.0,1.0,1,한국전력우리스프랏글로벌사모투자전문회사
459,한국전력우리스프랏글로벌제1차(유),,,1,-
460,한국전력우리스프랏글로벌제1차(유),,,-1,
462,한국전력우리스프랏글로벌제1차(유),0.0,0.0,99,
465,한국전력우리스프랏글로벌제2차(유),0.0,0.0,0,
480,한국전력우리스프랏글로벌제2차(유),1.0,1.0,1,한국전력우리스프랏글로벌사모투자전문회사
481,한국전력우리스프랏글로벌제2차(유),,,1,-
482,한국전력우리스프랏글로벌제2차(유),,,-1,
484,한국전력우리스프랏글로벌제2차(유),0.0,0.0,99,
487,한국전력우리스프랏글로벌해외자원개발사모투자전문회사,0.0,0.0,0,
502,한국전력우리스프랏글로벌해외자원개발사모투자전문회사,0.014999999932483027,0.014999999932483027,1,키움투자자산운용
503,한국전력우리스프랏글로벌해외자원개발사모투자전문회사,,,1,-
504,한국전력우리스프랏글로벌해외자원개발사모투자전문회사,,,-1,
506,한국전력우리스프랏글로벌해외자원개발사모투자전문회사,0.985000000067517,0.985000000067517,99,
509,한국전력우리스프랏글로벌해외자원개발제3차(유),0.0,0.0,0,
524,한국전력우리스프랏글로벌해외자원개발제3차(유),1.0,1.0,1,한국전력우리스프랏글로벌해외자원개발사모투자전문회사
525,한국전력우리스프랏글로벌해외자원개발제3차(유),,,1,-
526,한국전력우리스프랏글로벌해외자원개발제3차(유),,,-1,
528,한국전력우리스프랏글로벌해외자원개발제3차(유),0.0,0.0,99,
531,(유)스톤쉽문화산업전문회사,0.0,1.0,0,
546,(유)스톤쉽문화산업전문회사,,,1,-
547,(유)스톤쉽문화산업전문회사,,,1,-
548,(유)스톤쉽문화산업전문회사,,,-1,
550,(유)스톤쉽문화산업전문회사,0.0,0.0,99,
553,(유)팝뮤직문화산업전문회사,0.0,1.0,0,
568,(유)팝뮤직문화산업전문회사,,,1,-
569,(유)팝뮤직문화산업전문회사,,,1,-
570,(유)팝뮤직문화산업전문회사,,,-1,
572,(유)팝뮤직문화산업전문회사,0.0,0.0,99,
575,게티이미지코리아,0.0,0.0,0,
590,게티이미지코리아,0.5,0.5,1,이매진스
591,게티이미지코리아,,,1,-
592,게티이미지코리아,,,-1,
594,게티이미지코리아,0.5,0.5,99,
597,다우기술,0.010907419206578468,0.0477276679897662,0,
614,다우기술,0.4519618673277729,0.4519618673277729,1,다우데이타
615,다우기술,0.003619617676991336,0.003619617676991336,1,이머니
616,다우기술,,,-1,
618,다우기술,0.49669084700546956,0.49669084700546956,99,
621,다우데이타,0.3865115665796345,0.3891278067885118,0,
637,다우데이타,0.2855467101827676,0.2855467101827676,1,이머니
638,다우데이타,,,1,-
639,다우데이타,,,-1,
641,다우데이타,0.3253254830287206,0.3253254830287206,99,
644,동부고속,0.0,0.0,0,
659,동부고속,1.0,1.0,1,키움프라이빗에쿼티코리아와이드파트너스사모투자합자회사
660,동부고속,,,1,-
661,동부고속,,,-1,
663,동부고속,0.0,0.0,99,
666,미래테크놀로지,0.0,0.12677959112454149,0,
681,미래테크놀로지,0.3045457545662421,0.3045457545662421,1,다우데이타
682,미래테크놀로지,0.26661273025630033,0.26661273025630033,1,다우기술
683,미래테크놀로지,,,-1,
685,미래테크놀로지,0.30206192405291604,0.30206192405291604,99,
688,사람인에이치알,0.031159087842859364,0.08468151031501733,0,
705,사람인에이치알,0.32731562878374043,0.32731562878374043,1,다우기술
706,사람인에이치알,0.06265061522327783,0.06265061522327783,1,다우데이타
707,사람인에이치알,0.029186922020714344,0.029186922020714344,1,키움증권
708,사람인에이치알,0.02573061436215994,0.02573061436215994,1,이머니
709,사람인에이치알,,,-1,
711,사람인에이치알,0.47043470929509007,0.47043470929509007,99,
714,사람인에이치에스,0.0,0.0,0,
729,사람인에이치에스,1.0,1.0,1,사람인에이치알
730,사람인에이치에스,,,1,-
731,사람인에이치에스,,,-1,
733,사람인에이치에스,0.0,0.0,99,
736,알트탭,0.0,1.0,0,
751,알트탭,,,1,-
752,알트탭,,,1,-
753,알트탭,,,-1,
755,알트탭,0.0,0.0,99,
758,와이즈버즈,0.0,0.13596300374758005,0,
773,와이즈버즈,0.3255896666252242,0.3255896666252242,1,미래테크놀로지
774,와이즈버즈,0.04651261922100066,0.04651261922100066,1,다우기술
775,와이즈버즈,0.04651261922100066,0.04651261922100066,1,한국정보인증
776,와이즈버즈,0.04651261922100066,0.04651261922100066,1,키움증권
777,와이즈버즈,,,-1,
779,와이즈버즈,0.39890947196419374,0.39890947196419374,99,
782,이매진스,0.0,0.0,0,
797,이매진스,0.4166666666666667,0.4166666666666667,1,키다리스튜디오
798,이매진스,0.3333333333333333,0.3333333333333333,1,이머니
799,이매진스,0.25,0.25,1,다우데이타
800,이매진스,,,-1,
802,이매진스,0.0,0.0,99,
805,이머니,0.45180722891566266,1.0,0,
821,이머니,,,1,-
822,이머니,,,1,-
823,이머니,,,-1,
825,이머니,0.0,0.0,99,
828,키다리스타,0.0,0.0,0,
843,키다리스타,1.0,1.0,1,다우기술
844,키다리스타,,,1,-
845,키다리스타,,,-1,
847,키다리스타,0.0,0.0,99,
850,키다리스튜디오,0.034315105382508884,0.041010855068845546,0,
865,키다리스튜디오,0.5325185653671568,0.5325185653671568,1,다우데이타
866,키다리스튜디오,0.08616852875590253,0.08616852875590253,1,이머니
867,키다리스튜디오,,,-1,
869,키다리스튜디오,0.3403020508080951,0.3403020508080951,99,
872,키다리이엔티,0.0,0.0,0,
887,키다리이엔티,1.0,1.0,1,다우기술
888,키다리이엔티,,,1,-
889,키다리이엔티,,,-1,
891,키다리이엔티,0.0,0.0,99,
894,키움이앤에스,0.18,0.20724441922058268,0,
910,키움이앤에스,0.7908047673098751,0.7908047673098751,1,다우기술
911,키움이앤에스,,,1,-
912,키움이앤에스,,,-1,
914,키움이앤에스,0.0019508134695421868,0.0019508134695421868,99,
917,시네마게임음악문화산업전문회사(유),0.0,1.0,0,
932,시네마게임음악문화산업전문회사(유),,,1,-
933,시네마게임음악문화산업전문회사(유),,,1,-
934,시네마게임음악문화산업전문회사(유),,,-1,
936,시네마게임음악문화산업전문회사(유),0.0,0.0,99,
939,에스지서비스,0.0,0.0,0,
954,에스지서비스,1.0,1.0,1,한국정보인증
955,에스지서비스,,,1,-
956,에스지서비스,,,-1,
958,에스지서비스,0.0,0.0,99,
961,한국정보인증,0.0,0.0,0,
976,한국정보인증,0.37474898122894273,0.37474898122894273,1,다우기술
977,한국정보인증,,,1,-
978,한국정보인증,,,-1,
980,한국정보인증,0.6252510187710573,0.6252510187710573,99,
