,firmname,own,own2,type,ownername
0,태광산업,0.3876172085503862,0.6817055864918269,0,
10,태광산업,0.1121860966409197,0.1121860966409197,1,티알엔
12,태광산업,0.20610831686725345,0.20610831686725345,99,
15,대한화섬,0.23191415662650602,0.43605120481927706,0,
24,대한화섬,0.33525,0.33525,1,티알엔
26,대한화섬,0.2286987951807229,0.2286987951807229,99,
29,서한물산,0.0,0.0,0,
38,서한물산,1.0,1.0,1,태광산업
40,서한물산,0.0,0.0,99,
43,세광패션,0.0,0.0,0,
52,세광패션,1.0,1.0,1,태광산업
54,세광패션,0.0,0.0,99,
57,티브로드,0.178739845488849,0.18021799420308166,0,
66,티브로드,0.5394626630446556,0.5394626630446556,1,태광산업
67,티브로드,0.07761515802295213,0.07761515802295213,1,티시스
69,티브로드,0.20270418472931057,0.20270418472931057,99,
72,티브로드동대문방송,0.0,0.0,0,
81,티브로드동대문방송,0.735,0.735,1,티브로드
83,티브로드동대문방송,0.265,0.265,99,
86,티브로드 노원방송,0.0,0.0,0,
95,티브로드 노원방송,0.55,0.55,1,티브로드
97,티브로드 노원방송,0.45,0.45,99,
100,한국디지털케이블미디어센터,0.0,0.0,0,
109,한국디지털케이블미디어센터,0.9978046103183315,0.9978046103183315,1,티브로드
111,한국디지털케이블미디어센터,0.0021953896816684962,0.0021953896816684962,99,
114,티캐스트,0.0,0.0,0,
123,티캐스트,1.0,1.0,1,티알엔
125,티캐스트,0.0,0.0,99,
128,이채널,0.185373,0.185373,0,
139,이채널,0.550912,0.550912,1,태광산업
140,이채널,0.161314,0.161314,1,대한화섬
142,이채널,0.102401,0.102401,99,
145,챔프비전,0.0,0.0,0,
154,챔프비전,0.5,0.5,1,티캐스트
156,챔프비전,0.5,0.5,99,
159,한국케이블텔레콤,0.0,0.0,0,
168,한국케이블텔레콤,0.9163835902795924,0.9163835902795924,1,태광산업
170,한국케이블텔레콤,0.08361640972040763,0.08361640972040763,99,
173,티시스,0.18718609318591617,0.22119121287750376,0,
184,티시스,0.4632774168769205,0.4632774168769205,1,태광산업
185,티시스,0.3155313702455758,0.3155313702455758,1,대한화섬
187,티시스,0.0,0.0,99,
190,티알엔,0.936581687806104,0.9548190150603282,0,
202,티알엔,0.03323765558744814,0.03323765558744814,1,태광산업
203,티알엔,0.01194332935222355,0.01194332935222355,1,티시스
205,티알엔,0.0,0.0,99,
208,큰희망,0.0,0.0,0,
217,큰희망,1.0,1.0,1,티시스
219,큰희망,0.0,0.0,99,
222,메르뱅,0.0,0.0,0,
232,메르뱅,1.0,1.0,1,티시스
234,메르뱅,0.0,0.0,99,
237,흥국생명보험,0.8196224368196138,0.8666168164908131,0,
250,흥국생명보험,0.10429268320694225,0.10429268320694225,1,대한화섬
251,흥국생명보험,0.029090500302244606,0.029090500302244606,1,티알엔
253,흥국생명보험,0.0,0.0,99,
256,흥국화재해상보험,0.0,0.0,0,
265,흥국화재해상보험,0.5955551852093123,0.5955551852093123,1,흥국생명보험
266,흥국화재해상보험,0.19631092173322962,0.19631092173322962,1,태광산업
268,흥국화재해상보험,0.2081338930574581,0.2081338930574581,99,
271,흥국증권,0.6875,0.6875,0,
280,흥국증권,0.3125,0.3125,1,티알엔
282,흥국증권,0.0,0.0,99,
285,흥국자산운용,0.28,0.28,0,
297,흥국자산운용,0.72,0.72,1,흥국증권
299,흥국자산운용,0.0,0.0,99,
302,대신흥국제일호사모투자전문회사,0.0,0.0,0,
311,대신흥국제일호사모투자전문회사,0.15027027027027026,0.15027027027027026,1,흥국생명보험
312,대신흥국제일호사모투자전문회사,0.011351351351351352,0.011351351351351352,1,흥국자산운용
313,대신흥국제일호사모투자전문회사,0.0005405405405405405,0.0005405405405405405,1,흥국화재해상보험
315,대신흥국제일호사모투자전문회사,0.8378378378378379,0.8378378378378379,99,
320,고려저축은행,0.5365152144111707,0.5365152144111707,0,
329,고려저축은행,0.202414563229531,0.202414563229531,1,대한화섬
330,고려저축은행,0.202414563229531,0.202414563229531,1,태광산업
331,고려저축은행,0.05865565912976742,0.05865565912976742,1,흥국생명보험
333,고려저축은행,0.0,0.0,99,
336,예가람저축은행,0.0,0.0,0,
345,예가람저축은행,0.652973690179179,0.652973690179179,1,고려저축은행
346,예가람저축은행,0.22159696076207758,0.22159696076207758,1,대한화섬
347,예가람저축은행,0.12542934905874348,0.12542934905874348,1,흥국생명보험
349,예가람저축은행,0.0,0.0,99,
