,firmname,own,own2,type,ownername
0,남선알미늄,0.0,2.0273882044744095e-05,0,
14,남선알미늄,0.18030628586282293,0.18030628586282293,1,삼라
15,남선알미늄,0.11975561283329493,0.11975561283329493,1,에스엠하이플러스
16,남선알미늄,,,-1,
18,남선알미늄,0.6999178274218374,0.6999178274218374,99,
21,남선홀딩스,0.0,0.0,0,
36,남선홀딩스,1.0,1.0,1,남선알미늄
37,남선홀딩스,,,1,-
38,남선홀딩스,,,-1,
40,남선홀딩스,0.0,0.0,99,
43,델라노체,1.0,1.0,0,
58,델라노체,,,1,-
59,델라노체,,,1,-
60,델라노체,,,-1,
62,델라노체,0.0,0.0,99,
66,라도,1.0,1.0,0,
81,라도,,,1,-
82,라도,,,1,-
83,라도,,,-1,
85,라도,0.0,0.0,99,
89,바로코사,0.0,0.00337603454358545,0,
104,바로코사,0.8616416643175093,0.8616416643175093,1,벡셀
105,바로코사,,,1,-
106,바로코사,,,-1,
108,바로코사,0.13498230113890525,0.13498230113890525,99,
111,바로코사유통사하,0.0,0.0,0,
126,바로코사유통사하,1.0,1.0,1,바로코사
127,바로코사유통사하,,,-1,
129,바로코사유통사하,0.0,0.0,99,
132,벡셀,0.0,0.0,0,
147,벡셀,1.0,1.0,1,에스엠하이플러스
148,벡셀,,,1,-
149,벡셀,,,-1,
151,벡셀,0.0,0.0,99,
154,삼라,0.688211718095012,0.8769257250543466,0,
167,삼라,,,1,-
168,삼라,,,-1,
170,삼라,0.12307427494565339,0.12307427494565339,99,
173,삼라농원,0.19,0.19,0,
188,삼라농원,0.32,0.32,1,에스엠스틸
189,삼라농원,0.25,0.25,1,에스엠케미칼
190,삼라농원,0.24,0.24,1,에스엠상선
191,삼라농원,,,-1,
193,삼라농원,0.0,0.0,99,
196,삼라마이다스,1.0,1.0,0,
211,삼라마이다스,,,1,-
212,삼라마이다스,,,1,-
213,삼라마이다스,,,-1,
215,삼라마이다스,0.0,0.0,99,
219,에스씨파워텍,0.0,0.0,0,
234,에스씨파워텍,1.0,1.0,1,에스엠상선
235,에스씨파워텍,,,-1,
237,에스씨파워텍,0.0,0.0,99,
241,우방,0.0,0.0065293213285218974,0,
256,우방,0.3769115226041322,0.3769115226041322,1,에스엠인더스트리
257,우방,0.20769495981883906,0.20769495981883906,1,남선홀딩스
258,우방,0.18670254802936168,0.18670254802936168,1,삼라마이다스
259,우방,0.09223239309270732,0.09223239309270732,1,삼라
260,우방,0.09019877519887219,0.09019877519887219,1,에스엠스틸
261,우방,,,-1,
263,우방,0.03973047992756566,0.03973047992756566,99,
266,울산방송,0.0,0.0,0,
281,울산방송,0.3,0.3,1,삼라
282,울산방송,,,1,-
283,울산방송,,,-1,
285,울산방송,0.7,0.7,99,
288,이엔에이치,0.0,0.0,0,
303,이엔에이치,1.0,1.0,1,티케이케미칼
304,이엔에이치,,,1,-
305,이엔에이치,,,-1,
307,이엔에이치,0.0,0.0,99,
310,케이알티산업,0.0,0.0,0,
325,케이알티산업,0.9997188919507802,0.9997188919507802,1,우방
326,케이알티산업,,,1,-
327,케이알티산업,,,-1,
329,케이알티산업,0.00028110804921977053,0.00028110804921977053,99,
333,케이엘홀딩스,0.0,0.0,0,
348,케이엘홀딩스,0.3715170278637771,0.3715170278637771,1,티케이케미칼
349,케이엘홀딩스,0.3240454076367389,0.3240454076367389,1,삼라
350,케이엘홀딩스,0.304437564499484,0.304437564499484,1,에스엠인더스트리
351,케이엘홀딩스,,,-1,
353,케이엘홀딩스,0.0,0.0,99,
356,태길종합건설,0.0,0.0,0,
371,태길종합건설,1.0,1.0,1,에스엠인더스트리
372,태길종합건설,,,1,-
373,태길종합건설,,,-1,
375,태길종합건설,0.0,0.0,99,
378,티케이케미칼,0.0,0.051608730973219184,0,
394,티케이케미칼,0.3285701897853307,0.3285701897853307,1,에스엠인더스트리
395,티케이케미칼,0.15030733006896693,0.15030733006896693,1,우방
396,티케이케미칼,,,-1,
398,티케이케미칼,0.4695137491724832,0.4695137491724832,99,
401,한울코퍼레이션,0.5,0.8,0,
416,한울코퍼레이션,,,1,-
417,한울코퍼레이션,,,1,-
418,한울코퍼레이션,,,-1,
420,한울코퍼레이션,0.2,0.2,99,
424,한통엔지니어링,0.19964026828184764,0.19964026828184764,0,
439,한통엔지니어링,0.3992805365636953,0.3992805365636953,1,삼라
440,한통엔지니어링,0.39945661007032107,0.39945661007032107,1,동아건설산업
441,한통엔지니어링,,,-1,
443,한통엔지니어링,0.001622585084136048,0.001622585084136048,99,
446,경남기업,0.0,0.004948056747343625,0,
461,경남기업,0.6591891972873366,0.6591891972873366,1,동아건설산업
462,경남기업,0.2825229253732195,0.2825229253732195,1,대한상선
463,경남기업,,,-1,
465,경남기업,0.05333982059210029,0.05333982059210029,99,
468,대림종합건설더블유,0.0,0.0,0,
483,대림종합건설더블유,1.0,1.0,1,한덕철광산업
484,대림종합건설더블유,,,-1,
486,대림종합건설더블유,0.0,0.0,99,
490,대한상선,0.0,0.0,0,
503,대한상선,0.7048790490701559,0.7048790490701559,1,대한해운
504,대한상선,,,-1,
506,대한상선,0.29512095092984414,0.29512095092984414,99,
509,대한해운,2.046906164786017e-05,0.03458276622092283,0,
523,대한해운,0.018740899711054634,0.018740899711054634,1,삼라
524,대한해운,0.16403193681249795,0.16403193681249795,1,케이엘홀딩스
525,대한해운,0.11845274035498839,0.11845274035498839,1,티케이케미칼
526,대한해운,0.03840348032998911,0.03840348032998911,1,에스엠인더스트리
527,대한해운,0.20471771751622347,0.20471771751622347,1,에스엠하이플러스
528,대한해운,,,-1,
530,대한해운,0.4210704590543236,0.4210704590543236,99,
536,동아건설산업,0.17536063708759955,0.26249374288964733,0,
551,동아건설산업,0.3485779294653015,0.3485779294653015,1,라도
552,동아건설산업,0.19581114903299204,0.19581114903299204,1,삼라
553,동아건설산업,0.13629124004550625,0.13629124004550625,1,삼라마이다스
554,동아건설산업,,,-1,
556,동아건설산업,0.0568259385665529,0.0568259385665529,99,
559,삼라산업개발,0.47,0.5499999999999999,0,
573,삼라산업개발,,,1,-
574,삼라산업개발,,,-1,
576,삼라산업개발,0.45,0.45,99,
579,삼환기업,0.9769244444444444,0.9769244444444444,0,
595,삼환기업,,,1,-
596,삼환기업,,,1,-
597,삼환기업,,,-1,
599,삼환기업,0.023075555555555554,0.023075555555555554,99,
603,서남바이오에너지,0.0,0.0,0,
618,서남바이오에너지,0.29,0.29,1,에스엠하이플러스
619,서남바이오에너지,,,1,-
620,서남바이오에너지,,,-1,
622,서남바이오에너지,0.71,0.71,99,
625,성우종합건설더블유,0.0,0.0,0,
640,성우종합건설더블유,,,1,-
641,성우종합건설더블유,1.0,1.0,1,에스엠중공업
642,성우종합건설더블유,,,-1,
644,성우종합건설더블유,0.0,0.0,99,
648,신촌역사,0.0,0.0,0,
663,신촌역사,0.99995,0.99995,1,삼라마이다스
664,신촌역사,,,1,-
665,신촌역사,,,-1,
667,신촌역사,5e-05,5e-05,99,
671,신촌역사개발,0.0,0.0,0,
686,신촌역사개발,1.0,1.0,1,신촌역사
687,신촌역사개발,,,1,-
688,신촌역사개발,,,-1,
690,신촌역사개발,0.0,0.0,99,
694,신화디앤디,1.0,1.0,0,
709,신화디앤디,,,1,-
710,신화디앤디,,,1,-
711,신화디앤디,,,-1,
