,firmname,own,own2,type,ownername
0,포스코,0.0,0.10883480286903408,0,
15,포스코,9.877638063131893e-05,9.877638063131893e-05,1,포스코오앤엠
16,포스코,,,-1,
18,포스코,0.8910664207503347,0.8910664207503347,99,
21,포스코건설,0.5279912350878546,0.5487144714193378,0,
30,포스코건설,,,1,
32,포스코건설,0.45128552858066223,0.45128552858066223,99,
35,포스코강판,0.5686666666666667,0.569,0,
45,포스코강판,,,1,-
47,포스코강판,0.431,0.431,99,
50,포스코아이씨티,0.6538195756576117,0.6639901860843912,0,
59,포스코아이씨티,,,1,
61,포스코아이씨티,0.3360098139156087,0.3360098139156087,99,
64,포스코경영연구원,1.0,1.0,0,
73,포스코경영연구원,,,1,-
75,포스코경영연구원,0.0,0.0,99,
78,포스코에이앤씨건축사사무소,1.0,1.0,0,
87,포스코에이앤씨건축사사무소,,,1,-
89,포스코에이앤씨건축사사무소,0.0,0.0,99,
92,엔투비,0.075,0.09375,0,
101,엔투비,0.321875,0.321875,1,포스코오앤엠
102,엔투비,0.121875,0.121875,1,포스코건설
103,엔투비,0.03946875,0.03946875,1,포스코에너지
104,엔투비,0.025,0.025,1,포스코아이씨티
105,엔투비,0.021875,0.021875,1,포스코케미칼
106,엔투비,0.0125,0.0125,1,포스코플랜텍
107,엔투비,0.00625,0.00625,1,포스코강판
109,엔투비,0.35740625,0.35740625,99,
112,포스코케미칼,0.6125809213648143,0.6540361892837666,0,
123,포스코케미칼,,,1,-
125,포스코케미칼,0.3459638107162334,0.3459638107162334,99,
128,포스코터미날,0.51,0.51,0,
137,포스코터미날,,,1,-
139,포스코터미날,0.49,0.49,99,
143,포스코오앤엠,0.47170661959418264,0.47170661959418264,0,
152,포스코오앤엠,0.5282933804058173,0.5282933804058173,1,포스코건설
154,포스코오앤엠,0.0,0.0,99,
157,포스코엠텍,0.4884999900222615,0.50653169656158,0,
166,포스코엠텍,,,1,-
168,포스코엠텍,0.4934683034384199,0.4934683034384199,99,
171,포스코에너지,0.7473254717360502,0.7473254717360502,0,
180,포스코에너지,,,1,-
182,포스코에너지,0.25267452826394976,0.25267452826394976,99,
185,게일인터내셔널코리아(유),0.0,0.0,0,
194,게일인터내셔널코리아(유),0.29899826852572325,0.29899826852572325,1,포스코건설
196,게일인터내셔널코리아(유),0.7010017314742767,0.7010017314742767,99,
199,에스엔엔씨,0.49,0.49,0,
208,에스엔엔씨,,,1,-
210,에스엔엔씨,0.51,0.51,99,
213,포항특수용접봉,0.5,0.5,0,
222,포항특수용접봉,,,1,-
224,포항특수용접봉,0.5,0.5,99,
227,피엔알,0.7,0.7,0,
236,피엔알,,,1,-
238,피엔알,0.3,0.3,99,
241,에스피에이치,0.0,0.0,0,
250,에스피에이치,0.5,0.5,1,포스코인터내셔널
251,에스피에이치,0.5,0.5,1,포스코건설
253,에스피에이치,0.0,0.0,99,
256,포스코인재창조원,1.0,1.0,0,
265,포스코인재창조원,,,1,-
267,포스코인재창조원,0.0,0.0,99,
270,피에스아이비,0.0,0.0,0,
279,피에스아이비,1.0,1.0,1,포스코건설
281,피에스아이비,0.0,0.0,99,
284,탄천이앤이,0.0,0.0,0,
293,탄천이앤이,1.0,1.0,1,포스코에너지
295,탄천이앤이,0.0,0.0,99,
298,우이신설경전철,0.0,0.0,0,
307,우이신설경전철,0.2729,0.2729,1,포스코건설
308,우이신설경전철,0.109,0.109,1,포스코아이씨티
310,우이신설경전철,0.6181,0.6181,99,
313,포스코알텍,1.0,1.0,0,
322,포스코알텍,,,1,-
324,포스코알텍,0.0,0.0,99,
327,호텔라온제나,0.0,0.0,0,
336,호텔라온제나,1.0,1.0,1,포스코건설
338,호텔라온제나,0.0,0.0,99,
341,송도개발피엠씨(유),0.0,0.0,0,
350,송도개발피엠씨(유),1.0,1.0,1,포스코건설
352,송도개발피엠씨(유),0.0,0.0,99,
355,포스코휴먼스,0.9030464792326984,0.9030464792326984,0,
364,포스코휴먼스,,,1,-
366,포스코휴먼스,0.09695352076730157,0.09695352076730157,99,
369,부산이앤이,0.7,0.7,0,
378,부산이앤이,,,1,-
380,부산이앤이,0.3,0.3,99,
383,포스코인터내셔널,0.6291057691042788,0.6322493519339133,0,
395,포스코인터내셔널,0.00034033596182323557,0.00034033596182323557,1,포스코오앤엠
397,포스코인터내셔널,0.3674103121042634,0.3674103121042634,99,
400,포스파워,0.0,0.0,0,
409,포스파워,0.2900000143328197,0.2900000143328197,1,포스코에너지
410,포스파워,0.0499999660538481,0.0499999660538481,1,포스코건설
412,포스파워,0.6600000196133322,0.6600000196133322,99,
416,포스코플랜텍,0.6084414402955057,0.6098836725950083,0,
425,포스코플랜텍,0.1309725001936296,0.1309725001936296,1,포스코건설
427,포스코플랜텍,0.25914382721136214,0.25914382721136214,99,
430,포항에스알디씨,0.0,0.0,0,
439,포항에스알디씨,0.5100001569267466,0.5100001569267466,1,포스코인터내서널
441,포항에스알디씨,0.4899998430732534,0.4899998430732534,99,
444,피에스씨에너지글로벌,0.0,0.0,0,
453,피에스씨에너지글로벌,1.0,1.0,1,포스코에너지
455,피에스씨에너지글로벌,0.0,0.0,99,
458,순천에코트랜스,1.0,1.0,0,
467,순천에코트랜스,,,1,-
469,순천에코트랜스,0.0,0.0,99,
472,피엠씨텍,0.0,0.0,0,
481,피엠씨텍,0.6,0.6,1,포스코케미칼
483,피엠씨텍,0.4,0.4,99,
486,포스코기술투자,0.950000004822335,1.0,0,
495,포스코기술투자,,,1,-
497,포스코기술투자,0.0,0.0,99,
