,firmname,own,own2,type,ownername
0,현대중공업,7.686534530993379e-06,0.031251386472795684,0,
87,현대중공업,0.30954019319991505,0.30954019319991505,1,현대중공업지주
88,현대중공업,,,-1,
90,현대중공업,0.6592084203272892,0.6592084203272892,99,
93,현대미포조선,0.0,0.006115945338844937,0,
117,현대미포조선,0.4240255575632648,0.4240255575632648,1,현대중공업
118,현대미포조선,,,-1,
120,현대미포조선,0.5698584970978903,0.5698584970978903,99,
123,현대삼호중공업,0.0,0.0014477597234646884,0,
132,현대삼호중공업,0.8053605484122309,0.8053605484122309,1,현대중공업
133,현대삼호중공업,,,-1,
135,현대삼호중공업,0.19319169186430438,0.19319169186430438,99,
138,현대오일뱅크,0.0,0.002475493734103868,0,
147,현대오일뱅크,0.9112507016109054,0.9112507016109054,1,현대중공업지주
148,현대오일뱅크,,,-1,
150,현대오일뱅크,0.08627380465499072,0.08627380465499072,99,
153,현대이엔티,0.0,1.0,0,
162,현대이엔티,,,1,-
163,현대이엔티,,,-1,
165,현대이엔티,0.0,0.0,99,
168,바르질라현대엔진(유),0.0,0.0,0,
177,바르질라현대엔진(유),0.5,0.5,1,현대중공업
178,바르질라현대엔진(유),,,-1,
180,바르질라현대엔진(유),0.5,0.5,99,
183,현대중공업스포츠,0.0,0.0,0,
192,현대중공업스포츠,1.0,1.0,1,현대중공업
193,현대중공업스포츠,,,-1,
195,현대중공업스포츠,0.0,0.0,99,
198,현대힘스,0.0,0.0,0,
207,현대힘스,0.25,0.25,1,현대중공업
208,현대힘스,,,-1,
210,현대힘스,0.75,0.75,99,
213,코마스,0.0,0.0,0,
222,코마스,1.0,1.0,1,현대중공업
223,코마스,,,-1,
225,코마스,0.0,0.0,99,
228,태백풍력발전,0.0,0.0,0,
237,태백풍력발전,0.35,0.35,1,현대중공업
238,태백풍력발전,,,-1,
240,태백풍력발전,0.6499999999999999,0.6499999999999999,99,
243,태백귀네미풍력발전,0.0,0.0,0,
252,태백귀네미풍력발전,0.375,0.375,1,현대중공업
253,태백귀네미풍력발전,,,-1,
255,태백귀네미풍력발전,0.625,0.625,99,
258,현대코스모,0.0,0.0,0,
267,현대코스모,0.5,0.5,1,현대오일뱅크
268,현대코스모,,,-1,
270,현대코스모,0.5,0.5,99,
273,창죽풍력발전,0.0,0.0,0,
282,창죽풍력발전,0.43,0.43,1,현대중공업
283,창죽풍력발전,,,-1,
285,창죽풍력발전,0.57,0.57,99,
288,현대오일터미널,0.0,0.0,0,
297,현대오일터미널,1.0,1.0,1,현대오일뱅크
298,현대오일터미널,,,-1,
300,현대오일터미널,0.0,0.0,99,
303,현대쉘베이스오일,0.0,0.0,0,
312,현대쉘베이스오일,0.6,0.6,1,현대오일뱅크
313,현대쉘베이스오일,,,-1,
315,현대쉘베이스오일,0.4,0.4,99,
318,현대글로벌서비스,0.0,0.0,0,
327,현대글로벌서비스,1.0,1.0,1,현대중공업지주
328,현대글로벌서비스,,,-1,
330,현대글로벌서비스,0.0,0.0,99,
333,현대케미칼,0.0,0.0,0,
342,현대케미칼,0.6,0.6,1,현대오일뱅크
343,현대케미칼,,,-1,
345,현대케미칼,0.4,0.4,99,
348,현대오씨아이,0.0,0.0,0,
357,현대오씨아이,0.51,0.51,1,현대오일뱅크
358,현대오씨아이,,,-1,
360,현대오씨아이,0.49,0.49,99,
363,현대중공업터보기계,0.0,0.0006994532146339086,0,
372,현대중공업터보기계,0.9667448290423061,0.9667448290423061,1,현대중공업
373,현대중공업터보기계,,,-1,
375,현대중공업터보기계,0.03255571774305999,0.03255571774305999,99,
378,현대중공업모스,0.0,0.0,0,
387,현대중공업모스,1.0,1.0,1,현대중공업
388,현대중공업모스,,,-1,
390,현대중공업모스,0.0,0.0,99,
393,현대에너지솔루션,0.0,0.0,0,
402,현대에너지솔루션,1.0,1.0,1,현대중공업
403,현대에너지솔루션,,,-1,
405,현대에너지솔루션,0.0,0.0,99,
408,현대중공업지주,0.3090490185899257,0.4358022295237863,0,
486,현대중공업지주,,,1,-
487,현대중공업지주,,,-1,
489,현대중공업지주,0.5641977704762137,0.5641977704762137,99,
492,현대건설기계,7.715425465360708e-06,0.0636594679209106,0,
559,현대건설기계,0.3311860593631942,0.3311860593631942,1,현대중공업지주
560,현대건설기계,,,-1,
562,현대건설기계,0.6051544727158953,0.6051544727158953,99,
565,현대일렉트릭앤에너지시스템,7.663160852448048e-06,0.03388512185039789,0,
638,현대일렉트릭앤에너지시스템,0.37735879827883445,0.37735879827883445,1,현대중공업지주
639,현대일렉트릭앤에너지시스템,,,-1,
641,현대일렉트릭앤에너지시스템,0.5887560798707677,0.5887560798707677,99,
644,유봉,0.44487678339818415,1.0,0,
654,유봉,,,1,-
655,유봉,,,-1,
657,유봉,0.0,0.0,99,
660,에이치이에이,0.72,0.72,0,
669,에이치이에이,,,1,-
670,에이치이에이,,,-1,
672,에이치이에이,0.28,0.28,99,
675,현대중공업파워시스템,0.0,0.0,0,
684,현대중공업파워시스템,1.0,1.0,1,현대중공업
685,현대중공업파워시스템,,,-1,
687,현대중공업파워시스템,0.0,0.0,99,
690,현대미래파트너스,0.0,0.0,0,
699,현대미래파트너스,1.0,1.0,1,현대중공업지주
700,현대미래파트너스,,,-1,
702,현대미래파트너스,0.0,0.0,99,
705,아산카카오메디컬데이터,0.0,0.05,0,
714,아산카카오메디컬데이터,0.45,0.45,1,현대미래파트너스
715,아산카카오메디컬데이터,,,-1,
717,아산카카오메디컬데이터,0.5,0.5,99,
720,티앤에이,0.0,0.0,0,
729,티앤에이,1.0,1.0,1,현대건설기계
730,티앤에이,,,-1,
732,티앤에이,0.0,0.0,99,
735,현대코어모션,0.0,0.0,0,
744,현대코어모션,1.0,1.0,1,현대건설기계
745,현대코어모션,,,-1,
747,현대코어모션,0.0,0.0,99,
