,firmname,own,own2,type,ownername
0,한라홀딩스,0.24344174551927175,0.243703966837502,0,
12,한라홀딩스,0.7562960331624979,0.7562960331624979,99,
14,위코,1.0,1.0,1,한라홀딩스
17,제이제이한라,1.0,1.0,1,한라홀딩스
20,한라,0.13858814310367584,0.17735148114668647,0,
32,한라,0.33304465815477885,0.33304465815477885,1,한라홀딩스
34,한라,0.4896038606985347,0.4896038606985347,99,
36,배곧신도시지역특성화타운,0.95,0.95,1,한라
38,배곧신도시지역특성화타운,0.05,0.05,99,
40,한라세라지오,1.0,1.0,1,한라
43,한라지엘에스,1.0,1.0,1,한라
46,평택동부도로,1.0,1.0,1,한라
49,한라오엠에스,1.0,1.0,1,한라
52,한라개발,0.5098039215686274,0.5098039215686274,1,한라
54,한라개발,0.49019607843137253,0.49019607843137253,99,
56,목포신항만운영,1.0,1.0,1,한라
59,만도,7.04898426479307e-05,0.0030224383437485094,0,
65,만도,0.30247276664326944,0.30247276664326944,1,한라홀딩스
67,만도,0.694504795012982,0.694504795012982,99,
69,만도차이나홀딩스,1.0,1.0,1,만도
72,만도헬라일렉트로닉스,0.5,0.5,1,한라홀딩스
74,만도헬라일렉트로닉스,0.5,0.5,99,
76,만도브로제,0.5,0.5,1,만도
78,만도브로제,0.5,0.5,99,
