,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3
0,비금융회사,대우조선해양,동일인측,등기된 임원,최용석,11,0.00%,-,-,11,0.00%,등기된 임원
1,비금융회사,대우조선해양,동일인측,등기된 임원,권민철,148,0.00%,-,-,148,0.00%,등기된 임원
2,비금융회사,대우조선해양,동일인측,등기된 임원,유은진,15,0.00%,-,-,15,0.00%,등기된 임원
3,비금융회사,대우조선해양,동일인측,등기된 임원,이상엽,110,0.00%,-,-,110,0.00%,등기된 임원
4,비금융회사,대우조선해양,동일인측,등기된 임원,강석흔,74,0.00%,-,-,74,0.00%,등기된 임원
5,비금융회사,대우조선해양,동일인측,등기된 임원,이정호,1,0.00%,-,-,1,0.00%,등기된 임원
6,비금융회사,대우조선해양,동일인측,등기된 임원,김훈주,307,0.00%,-,-,307,0.00%,등기된 임원
7,비금융회사,대우조선해양,동일인측,등기된 임원,박용덕,50,0.00%,-,-,50,0.00%,등기된 임원
8,비금융회사,대우조선해양,동일인측,등기된 임원,정선영,469,0.00%,-,-,469,0.00%,등기된 임원
9,비금융회사,대우조선해양,동일인측,자기주식,대우조선해양,16207,0.02%,-,-,16207,0.02%,자기주식
10,비금융회사,대우조선해양,동일인측,동일인측 합계,/,17392,0.02%,-,-,17392,0.02%,동일인측 합계
11,비금융회사,대우조선해양,기타주주,동일인측이 아닌최다주주,한국산업은행,59738211,55.72%,-,-,59738211,55.72%,동일인측이 아닌최다주주
12,비금융회사,대우조선해양,기타주주,기타,/,47450149,44.26%,-,-,47450149,44.26%,기타
13,비금융회사,대우조선해양,총 계,총 계,/,107205752,100.00%,-,-,107205752,100.00%,총 계
14,비금융회사,대한조선(주),동일인측,동일인,대우조선해양(주),4415777,67.71%,-,-,4415777,67.71%,동일인
15,비금융회사,대한조선(주),동일인측,동일인측 합계,/,4415777,67.71%,-,-,4415777,67.71%,동일인측 합계
16,비금융회사,대한조선(주),기타주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-,동일인측이 아닌최다주주
17,비금융회사,대한조선(주),기타주주,기타,/,2105705,32.29%,-,-,2105705,32.29%,기타
18,비금융회사,대한조선(주),총 계,총 계,/,6521482,100.00%,-,-,6521482,100.00%,총 계
19,비금융회사,디에스엠이정보시스템(주),동일인측,동일인,대우조선해양(주),40000,100.00%,-,-,40000,100.00%,동일인
20,비금융회사,디에스엠이정보시스템(주),동일인측,동일인측 합계,/,40000,100.00%,-,-,40000,100.00%,동일인측 합계
21,비금융회사,디에스엠이정보시스템(주),총 계,총 계,/,40000,100.00%,-,-,40000,100.00%,총 계
22,비금융회사,삼우중공업(주),동일인측,동일인,대우조선해양(주),8382045,100.00,-,-,8382045,100.00,동일인
23,비금융회사,삼우중공업(주),동일인측,동일인측 합계,/,8382045,100.00,-,-,8382045,100.00,동일인측 합계
24,비금융회사,삼우중공업(주),총 계,총 계,/,8382045,100.00%,-,-,8382045,100.00%,총 계
25,비금융회사,신한중공업(주),동일인측,동일인,대우조선해양(주),1374485,89.22%,-,-,1374485,89.22%,동일인
26,비금융회사,신한중공업(주),동일인측,동일인측 합계,/,1374485,89.22%,-,-,1374485,89.22%,동일인측 합계
27,비금융회사,신한중공업(주),기타주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-,동일인측이 아닌최다주주
28,비금융회사,신한중공업(주),기타주주,기타,참엔지니어링(주),95000,6.17%,-,-,95000,6.17%,기타
29,비금융회사,신한중공업(주),기타주주,기타,중소기업진흥공단,70000,4.54%,-,-,70000,4.54%,기타
30,비금융회사,신한중공업(주),기타주주,기타,청구조선공업(주),709,0.05%,-,-,709,0.05%,기타
31,비금융회사,신한중공업(주),기타주주,기타,김경준,396,0.02%,-,-,396,0.02%,기타
32,비금융회사,신한중공업(주),총 계,총 계,/,1540590,100.00%,-,-,1540590,100.00%,총 계
