,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비금융회사,대우조선해양(주),동일인측,등기된 임원,권민철,148,0.00%,-,-,148,0.00%
1,비금융회사,대우조선해양(주),동일인측,등기된 임원,김훈주,307,0.00%,-,-,307,0.00%
2,비금융회사,대우조선해양(주),동일인측,등기된 임원,유은진,15,0.00%,-,-,15,0.00%
3,비금융회사,대우조선해양(주),동일인측,등기된 임원,이상엽,110,0.00%,-,-,110,0.00%
4,비금융회사,대우조선해양(주),동일인측,등기된 임원,이정호,1,0.00%,-,-,1,0.00%
5,비금융회사,대우조선해양(주),동일인측,등기된 임원,이호태,145,0.00%,-,-,145,0.00%
6,비금융회사,대우조선해양(주),동일인측,등기된 임원,장성기,1,0.00%,-,-,1,0.00%
7,비금융회사,대우조선해양(주),동일인측,등기된 임원,최용석,11,0.00%,-,-,11,0.00%
8,비금융회사,대우조선해양(주),동일인측,자기주식,대우조선해양,16207,0.02%,-,-,16207,0.02%
9,비금융회사,대우조선해양(주),동일인측,동일인측 합계,/,16945,0.02%,-,-,16945,0.02%
10,비금융회사,대우조선해양(주),기타주주,동일인측이 아닌최다주주,한국산업은행,59738211,55.72%,-,-,59738211,55.72%
11,비금융회사,대우조선해양(주),기타주주,기타,/,47450596,44.26%,-,-,47450596,44.26%
12,비금융회사,대우조선해양(주),총 계,총 계,/,107205752,100.00%,-,-,107205752,100.00%
13,비금융회사,대한조선(주),동일인측,동일인,대우조선해양(주),4243045,65.06%,-,-,4243045,65.06%
14,비금융회사,대한조선(주),동일인측,동일인측 합계,/,4243045,65.06%,-,-,4243045,65.06%
15,비금융회사,대한조선(주),기타주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
16,비금융회사,대한조선(주),기타주주,기타,/,2278437,34.94%,-,-,2278437,34.94%
17,비금융회사,대한조선(주),총 계,총 계,/,6521482,100.00%,-,-,6521482,100.00%
18,비금융회사,디에스엠이정보시스템(주),동일인측,동일인,대우조선해양(주),40000,100.00%,-,-,40000,100.00%
19,비금융회사,디에스엠이정보시스템(주),동일인측,동일인측 합계,/,40000,100.00%,-,-,40000,100.00%
20,비금융회사,디에스엠이정보시스템(주),총 계,총 계,/,40000,100.00%,-,-,40000,100.00%
21,비금융회사,삼우중공업(주),동일인측,동일인,대우조선해양(주),8382045,100.00%,-,-,8382045,100.00%
22,비금융회사,삼우중공업(주),동일인측,동일인측 합계,/,8382045,100.00%,-,-,8382045,100.00%
23,비금융회사,삼우중공업(주),총 계,총 계,/,8382045,100.00%,-,-,8382045,100.00%
24,비금융회사,신한중공업(주),동일인측,동일인,대우조선해양(주),1374485,89.22%,-,-,1374485,89.22%
25,비금융회사,신한중공업(주),동일인측,동일인측 합계,/,1374485,89.22%,-,-,1374485,89.22%
26,비금융회사,신한중공업(주),기타주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,-
27,비금융회사,신한중공업(주),기타주주,기타,참엔지니어링(주),95000,6.17%,-,-,95000,6.17%
28,비금융회사,신한중공업(주),기타주주,기타,중소기업진흥공단,70000,4.54%,-,-,70000,4.54%
29,비금융회사,신한중공업(주),기타주주,기타,청구조선공업(주),709,0.05%,-,-,709,0.05%
30,비금융회사,신한중공업(주),기타주주,기타,김경준,396,0.02%,-,-,396,0.02%
31,비금융회사,신한중공업(주),총 계,총 계,/,1540590,100.00%,,,1540590,100.00%
