,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비금융회사,㈜케이티,동일인측,비영리법인,케이티그룹희망나눔재단,16668,0.01%,-,-,16668,0.01%
1,비금융회사,㈜케이티,동일인측,등기된 임원,황창규,39074,0.01%,-,-,39074,0.01%
2,비금융회사,㈜케이티,동일인측,등기된 임원,김인회,4386,0.00%,-,-,4386,0.00%
3,비금융회사,㈜케이티,동일인측,등기된 임원,이동면,5012,0.00%,-,-,5012,0.00%
4,비금융회사,㈜케이티,동일인측,등기된 임원,장석권,1694,0.00%,-,-,1694,0.00%
5,비금융회사,㈜케이티,동일인측,등기된 임원,김종구,1694,0.00%,-,-,1694,0.00%
6,비금융회사,㈜케이티,동일인측,등기된 임원,이계민,399,0.00%,-,-,399,0.00%
7,비금융회사,㈜케이티,동일인측,등기된 임원,임일,399,0.00%,-,-,399,0.00%
8,비금융회사,㈜케이티,동일인측,자기주식,㈜케이티,15967040,6.12%,-,-,15967040,6.12%
9,비금융회사,㈜케이티,동일인측,동일인 측 합계,동일인 측 합계,16036366,6.14%,-,-,16036366,6.14%
10,비금융회사,㈜케이티,기타주주,동일인 측이 아닌 최다주주,국민연금공단,31168363,11.94%,-,-,31168363,11.94%
11,비금융회사,㈜케이티,기타주주,기타,기타,213907079,81.92%,-,-,213907079,81.92%
12,비금융회사,㈜케이티,총 계,총 계,총 계,261111808,100.00%,-,-,261111808,100.00%
13,비금융회사,㈜나스미디어,동일인측,동일인,㈜케이티,3742406,42.75%,-,-,3742406,42.75%
14,비금융회사,㈜나스미디어,동일인측,등기된 임원,정기호,1489236,17.01%,-,-,1489236,17.01%
15,비금융회사,㈜나스미디어,동일인측,동일인 측 합계,동일인 측 합계,5231642,59.76%,-,-,5231642,59.76%
16,비금융회사,㈜나스미디어,기타주주,기타,기타,3523049,40.24%,-,-,3523049,40.24%
17,비금융회사,㈜나스미디어,총 계,총 계,총 계,8754691,100.00%,-,-,8754691,100.00%
18,비금융회사,㈜케이티넥스알,동일인측,계열회사,㈜케이티디에스,4080000,100.00%,66667,100.00%,4146667,100.00%
19,비금융회사,㈜케이티넥스알,동일인측,동일인 측 합계,동일인 측 합계,4080000,100.00%,66667,100.00%,4146667,100.00%
20,비금융회사,㈜케이티넥스알,기타주주,기타,기타,-,-,-,-,-,-
21,비금융회사,㈜케이티넥스알,총계,총계,총계,4080000,100.00%,66667,100.00%,4146667,100.00%
22,비금융회사,㈜케이티이엔지코어,동일인측,동일인,㈜케이티,1000000,100.00%,-,-,1000000,100.00%
23,비금융회사,㈜케이티이엔지코어,동일인측,동일인 측 합계,동일인 측 합계,1000000,100.00%,-,-,1000000,100.00%
24,비금융회사,㈜케이티이엔지코어,기타주주,기타,기타,-,-,-,-,-,-
25,비금융회사,㈜케이티이엔지코어,총계,총계,총계,1000000,100.00%,-,-,1000000,100.00%
26,비금융회사,㈜케이티디에스,동일인측,동일인,㈜케이티,2400000,95.31%,-,-,2400000,91.05%
27,비금융회사,㈜케이티디에스,동일인측,등기된 임원,우정민,213,0.01%,197,0.17%,410,0.02%
28,비금융회사,㈜케이티디에스,동일인측,자기주식,㈜케이티디에스,4260,0.17%,4682,3.98%,8942,0.34%
29,비금융회사,㈜케이티디에스,동일인측,동일인 측 합계,동일인 측 합계,2404473,95.49%,4879,4.14%,2409352,91.41%
30,비금융회사,㈜케이티디에스,기타주주,기타,기타,113571,4.51%,112874,95.86%,226445,8.59%
31,비금융회사,㈜케이티디에스,총계,총계,총계,2518044,100.00%,117753,100%,2635797,100.00%
32,비금융회사,㈜지니뮤직,동일인측,동일인,㈜케이티,20904514,35.97%,-,-,20904514,35.97%
33,비금융회사,㈜지니뮤직,동일인측,자기주식,㈜지니뮤직,368478,0.63%,,,368478,0.63%
34,비금융회사,㈜지니뮤직,동일인측,동일인 측 합계,동일인 측 합계,21272992,36.60%,-,-,21272992,36.60%
35,비금융회사,㈜지니뮤직,기타주주,기타,기타,36842446,63.40%,-,-,36842446,63.40%
36,비금융회사,㈜지니뮤직,총계,총계,총계,58115438,100.00%,-,-,58115438,100.00%
37,비금융회사,㈜케이티서브마린,동일인측,동일인,㈜케이티,8085000,36.92%,-,-,8085000,36.92%
38,비금융회사,㈜케이티서브마린,동일인측,자기주식,㈜케이티서브마린,1345875,6.15%,-,-,1345875,6.15%
39,비금융회사,㈜케이티서브마린,동일인측,동일인측 합계,동일인측 합계,9430875,43.06%,-,-,9430875,43.06%
40,비금융회사,㈜케이티서브마린,기타주주,기타,기타,12469125,56.94%,-,-,12469125,56.94%
41,비금융회사,㈜케이티서브마린,총계,총계,총계,21900000,100.00%,-,-,21900000,100.00%
42,비금융회사,㈜케이티아이에스,동일인측,동일인,㈜케이티,10196190,29.30%,-,-,10196190,29.30%
43,비금융회사,㈜케이티아이에스,동일인측,등기된 임원,이응호,360,0.00%,-,-,360,0.00%
44,비금융회사,㈜케이티아이에스,동일인측,등기된 임원,조이준,3000,0.01%,-,-,3000,0.01%
45,비금융회사,㈜케이티아이에스,동일인측,자기주식,㈜케이티아이에스,975460,2.80%,-,-,975460,2.80%
46,비금융회사,㈜케이티아이에스,동일인측,동일인 측 합계,동일인 측 합계,11175010,32.11%,-,-,11175010,32.11%
47,비금융회사,㈜케이티아이에스,기타주주,기타,기타,23626990,67.89%,-,-,23626990,67.89%
48,비금융회사,㈜케이티아이에스,총계,총계,총계,34802000,100.00%,-,-,34802000,100.00%
49,비금융회사,㈜케이티스카이라이프,동일인측,동일인,㈜케이티,23908000,49.99%,-,-,23908000,49.99%
50,비금융회사,㈜케이티스카이라이프,동일인측,등기된 임원,김진국,1500,0.00%,-,-,1500,0.00%
51,비금융회사,㈜케이티스카이라이프,동일인측,자기주식,㈜케이티스카이라이프,258613,0.54%,-,-,258613,0.54%
52,비금융회사,㈜케이티스카이라이프,동일인측,동일인 측 합계,동일인 측 합계,24168113,50.54%,-,-,24168113,50.54%
53,비금융회사,㈜케이티스카이라이프,기타주주,기타,기타,23653853,49.46%,-,-,23653853,49.46%
54,비금융회사,㈜케이티스카이라이프,총계,총계,총계,47821966,100.00%,-,-,47821966,100.00%
55,비금융회사,㈜케이티씨에스,동일인측,동일인,㈜케이티,3177426,7.44%,-,-,3177426,7.44%
56,비금융회사,㈜케이티씨에스,동일인측,등기된 임원,유태흥,400,0.00%,-,-,400,0.00%
57,비금융회사,㈜케이티씨에스,동일인측,자기주식,㈜케이티씨에스,872000,2.04%,-,-,872000,2.04%
58,비금융회사,㈜케이티씨에스,동일인측,계열회사,㈜케이티아이에스,4954704,11.61%,-,-,4954704,11.61%
59,비금융회사,㈜케이티씨에스,동일인측,계열회사,케이티하이텔㈜,4800000,11.25%,-,-,4800000,11.25%
60,비금융회사,㈜케이티씨에스,동일인측,동일인측 합계,동일인측 합계,13804530,32.34%,-,-,13804530,32.34%
61,비금융회사,㈜케이티씨에스,기타주주,기타,기타,28880470,67.66%,-,-,28880470,67.66%
62,비금융회사,㈜케이티씨에스,총 계,총 계,총 계,42685000,100.00%,-,-,42685000,100.00%
63,비금융회사,㈜케이티에스테이트,동일인측,동일인,㈜케이티,15848819,100.00%,-,-,15848819,100.00%
64,비금융회사,㈜케이티에스테이트,동일인측,동일인 측 합계,동일인 측 합계,15848819,100.00%,-,-,15848819,100.00%
65,비금융회사,㈜케이티에스테이트,기타주주,기타,기타,-,-,-,-,-,-
66,비금융회사,㈜케이티에스테이트,총계,총계,총계,15848819,100.00%,-,-,15848819,100.00%
67,비금융회사,㈜케이티엠앤에스,동일인측,동일인,㈜케이티,47400000,100.00%,-,-,47400000,100.00%
68,비금융회사,㈜케이티엠앤에스,동일인측,동일인 측 합계,동일인 측 합계,47400000,100.00%,-,-,47400000,100.00%
69,비금융회사,㈜케이티엠앤에스,기타주주,기타,기타,-,-,-,-,-,-
70,비금융회사,㈜케이티엠앤에스,총계,총계,총계,47400000,100.00%,-,-,47400000,100.00%
71,비금융회사,㈜케이티엠하우스,동일인측,동일인,㈜케이티,760000,76.00%,-,-,760000,76.00%
72,비금융회사,㈜케이티엠하우스,동일인측,등기된 임원,민태기,10000,1.00%,-,-,10000,1.00%
73,비금융회사,㈜케이티엠하우스,동일인측,계열회사,KT전략투자조합2호 업무집행조합원 (㈜케이티인베스트먼트)※1),140000,14.00%,-,-,140000,14.00%
74,비금융회사,㈜케이티엠하우스,동일인측,동일인 측 합계,동일인 측 합계,910000,91.00%,-,-,910000,91.00%
75,비금융회사,㈜케이티엠하우스,기타주주,기타,기타,90000,9.00%,-,-,90000,9.00%
76,비금융회사,㈜케이티엠하우스,총계,총계,총계,1000000,100.00%,-,-,1000000,100.00%
77,비금융회사,케이티링커스㈜,동일인측,동일인,㈜케이티,3075232,87.30%,-,-,3075232,87.30%
78,비금융회사,케이티링커스㈜,동일인측,계열회사,㈜케이티서비스남부,83292,2.36%,-,-,83292,2.36%
79,비금융회사,케이티링커스㈜,동일인측,계열회사,㈜케이티서비스북부,62496,1.77%,-,-,62496,1.77%
80,비금융회사,케이티링커스㈜,동일인측,계열회사,㈜케이티엠오에스남부,33952,0.96%,-,-,33952,0.96%
