,소속회사명,소속회사명,동일인과의 관계,동일인과의 관계,동일인과의 관계,성명,보통주,보통주,우선주,우선주,합계,합계
,소속회사명,소속회사명.1,동일인과의 관계,동일인과의 관계.1,동일인과의 관계.2,성명,주식수,지분율,주식수,지분율,주식수,지분율
0,비금융회사,(주)한화건설,동일인측,동일인,동일인,-,-,-,-,-,-,-
1,비금융회사,(주)한화건설,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
2,비금융회사,(주)한화건설,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,-,-
3,비금융회사,(주)한화건설,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
4,비금융회사,(주)한화건설,동일인측,친족,혈족2~4촌,-,-,-,-,-,-,-
5,비금융회사,(주)한화건설,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
6,비금융회사,(주)한화건설,동일인측,친족,혈족5~6촌,-,-,-,-,-,-,-
7,비금융회사,(주)한화건설,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
8,비금융회사,(주)한화건설,동일인측,친족,인척 4촌 이내,-,-,-,-,-,-,-
9,비금융회사,(주)한화건설,동일인측,친족,⑧ 친족 합계,-,-,-,-,-,-,-
10,비금융회사,(주)한화건설,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
11,비금융회사,(주)한화건설,동일인측,비영리법인,비영리법인,-,-,-,-,-,-,-
12,비금융회사,(주)한화건설,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
13,비금융회사,(주)한화건설,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,-,-
14,비금융회사,(주)한화건설,동일인측,자기주식,자기주식,-,-,-,-,-,-,-
15,비금융회사,(주)한화건설,동일인측,계열회사(국내+해외),계열회사(국내+해외),(주)한화,28000000,100.00,701800,32.84,28701800,95.24
16,비금융회사,(주)한화건설,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,
17,비금융회사,(주)한화건설,동일인측,⑨ 동일인측 합계,⑨ 동일인측 합계,/,28000000,100.00,701800,32.84,28701800,95.24
18,비금융회사,(주)한화건설,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,-,-
19,비금융회사,(주)한화건설,기타주주,기타,기타,/,-,-,1435406,67.16,1435406,4.76
20,비금융회사,(주)한화건설,총 계,총 계,총 계,/,28000000,100%,2137206,100%,30137206,100%
